,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2017-08-23,47.129,46.85,47.271,46.762,22689280.0,647310.064
2017-08-24,46.845,47.186,47.316,46.537,25891180.0,643356.1186
2017-08-25,46.525,46.961,47.037,46.505,23746260.0,639299.9028
2017-08-28,46.407,46.594,46.743,46.306,20987940.0,637765.4508
2017-08-29,46.788,45.998,46.91,45.966,23171520.0,642993.2127
2017-08-30,47.182,46.784,47.293,46.703,22406840.0,648601.6167
2017-08-31,47.762,47.315,47.86,47.313,33866260.0,655959.072
2017-09-01,47.6,47.874,47.917,47.514,20857700.0,654175.0316
2017-09-05,47.074,47.343,47.569,46.78,29216600.0,647494.3484
2017-09-06,47.101,47.194,47.225,46.634,27830580.0,647430.3881
2017-09-07,47.495,47.213,47.525,46.877,22331500.0,652983.5964
2017-09-08,47.07,47.485,47.535,47.001,19998320.0,646747.8328
2017-09-11,47.165,47.36,47.634,47.05,26747300.0,648310.3451
2017-09-12,47.332,47.346,47.404,46.875,25695740.0,650501.045
2017-09-13,47.522,47.275,47.643,47.237,21907640.0,652841.1695
2017-09-14,47.007,47.3,47.402,46.918,28547580.0,645820.1058
2017-09-15,46.765,47.005,47.088,46.563,39885300.0,642473.9947
2017-09-18,46.488,46.751,46.843,46.27,29473020.0,638728.2634
2017-09-19,46.843,46.671,46.897,46.333,24854520.0,643543.2513
2017-09-20,47.377,46.887,47.5,46.875,40080360.0,650605.3357
2017-09-21,47.378,47.407,47.64,46.969,27413700.0,650931.5688
2017-09-22,47.163,47.139,47.5,47.042,21496120.0,648096.4909
2017-09-25,46.714,46.973,46.988,46.226,37467500.0,642401.6566
2017-09-26,46.872,46.835,47.204,46.756,33454980.0,644858.9772
2017-09-27,47.995,47.137,48.271,47.098,46692700.0,659373.5324
2017-09-28,48.241,47.813,48.309,47.777,28018620.0,662812.6991
2017-09-29,48.686,48.3,48.79,48.3,40621840.0,669246.1542
2017-10-02,48.374,48.783,48.887,48.098,30782440.0,665067.8839
2017-10-03,48.604,48.378,48.622,48.135,21678960.0,668228.6428
2017-10-04,48.339,48.588,48.72,48.281,21155380.0,664255.6414
2017-10-05,49.26,48.64,49.325,48.514,35618920.0,676963.2858
2017-10-06,49.682,49.0,49.713,48.926,31060660.0,682996.3339
2017-10-09,49.616,49.75,50.023,49.575,25909340.0,681866.8851
2017-10-10,49.39,49.765,49.874,49.056,23268000.0,678782.8398
2017-10-11,50.283,49.452,50.378,49.397,36299980.0,690705.1977
2017-10-12,50.283,50.192,50.577,50.055,30613280.0,690177.9743
2017-10-13,50.394,50.456,50.738,50.353,26552640.0,691578.7917
2017-10-16,50.468,50.482,50.6,50.076,21420460.0,692916.1319
2017-10-17,50.55,50.372,50.728,50.302,20259960.0,693513.5955
2017-10-18,50.637,50.552,50.815,50.266,25595600.0,694307.0804
2017-10-19,50.092,50.238,50.366,49.865,34284860.0,687697.7556
2017-10-20,50.254,50.353,50.433,50.114,32120620.0,690128.8241
2017-10-23,49.277,50.259,50.29,49.155,32785880.0,676515.2052
2017-10-24,49.425,49.325,49.463,48.854,28902580.0,678239.8954
2017-10-25,49.573,49.314,49.722,48.886,30574200.0,680230.9163
2017-10-26,49.571,49.924,50.326,49.524,47396760.0,679932.1637
2017-10-27,51.684,51.55,53.181,51.342,103682860.0,712824.8825
2017-10-30,51.657,51.458,51.991,51.117,46803440.0,711845.4276
2017-10-31,51.652,51.65,52.05,51.315,30325560.0,711641.155
2017-11-01,52.13,51.816,52.393,51.7,43261460.0,718020.7534
2017-11-02,52.149,52.0,52.276,51.433,26693940.0,718171.2689
2017-11-03,52.5,52.138,52.533,51.883,27769220.0,723004.0196
2017-11-06,52.134,52.455,52.629,52.1,18294960.0,718197.3069
2017-11-07,52.62,52.483,52.671,52.15,26104580.0,724093.3929
2017-11-08,52.915,52.503,53.135,52.353,24292000.0,728423.9861
2017-11-09,52.386,52.4,52.544,51.793,35891500.0,721818.4699
2017-11-10,52.208,52.193,52.332,52.061,19442540.0,719479.7668
2017-11-13,52.06,52.04,52.437,51.963,18814420.0,717665.0912
