,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2015-04-24,109.53,109.53,110.48,109.19,6355616.0,186153.1742
2015-04-27,110.16,111.5,111.66,110.07,8479080.0,187223.8991
2015-04-28,109.92,110.75,111.1499,108.89,7324498.0,186816.0039
2015-04-29,109.81,109.66,110.38,109.26,6024741.0,186629.052
2015-04-30,108.72,109.68,110.19,107.68,7770301.0,184776.5279
2015-05-01,110.52,109.95,110.67,109.27,6205116.0,187835.7419
2015-05-04,111.03,111.48,111.53,110.5,7566209.0,188702.5192
2015-05-05,110.81,113.27,113.3,110.56,14619307.0,188018.1119
2015-05-06,109.72,111.56,111.96,109.22,8975283.0,186168.6422
2015-05-07,109.26,109.6,109.78,108.715,8291198.0,185388.132
2015-05-08,110.11,110.26,110.7,109.57,6260611.0,186830.3791
2015-05-11,108.6,110.14,110.14,108.49,6728542.0,184268.2696
2015-05-12,109.24,108.28,109.66,107.67,6345037.0,185354.1968
2015-05-13,109.19,109.7,109.87,108.78,4141357.0,185269.3588
2015-05-14,109.93,109.69,110.0,109.01,4662043.0,186524.9621
2015-05-15,110.3,110.1,110.69,109.68,5852173.0,187152.7637
2015-05-18,110.33,110.47,110.74,110.01,4868918.0,187203.6666
2015-05-19,110.56,110.69,110.9899,110.4705,4549640.0,187593.9216
2015-05-20,110.2,110.78,110.81,110.02,4393474.0,186983.0876
2015-05-21,110.39,110.04,110.64,109.9,4880577.0,187305.4722
2015-05-22,110.26,110.3,110.9,110.1203,4267697.0,187084.8933
2015-05-26,109.44,110.17,110.85,108.76,5970756.0,185693.5491
2015-05-27,110.37,109.51,110.61,109.3,3984196.0,187271.537
2015-05-28,110.53,110.11,110.54,109.6,3391980.0,187543.0188
2015-05-29,110.37,110.33,110.52,109.41,5264878.0,187271.537
2015-06-01,110.96,111.48,111.77,110.55,6778890.0,188272.6261
2015-06-02,110.75,110.92,111.25,110.02,4425947.0,187916.3063
2015-06-03,111.17,111.28,111.82,110.5,4510344.0,188628.946
2015-06-04,110.3,110.95,111.25,109.99,5748198.0,187152.7637
2015-06-05,110.3,110.3,110.77,109.8,4323537.0,187152.7637
2015-06-08,109.29,110.03,110.24,109.21,6068142.0,185439.0349
2015-06-09,108.52,109.35,109.41,107.65,7711756.0,184132.5287
2015-06-10,110.0,108.9,110.25,108.73,5128742.0,186643.7354
2015-06-11,110.62,110.01,110.96,110.01,5036279.0,187695.7273
2015-06-12,109.95,110.33,110.53,109.54,4009859.0,186558.8973
2015-06-15,110.18,109.27,110.41,108.93,5742208.0,186949.1524
2015-06-16,111.06,110.35,111.29,109.9,3848346.0,188442.3023
2015-06-17,111.49,111.2,111.94,110.88,4732297.0,189171.9096
2015-06-18,113.22,111.83,113.55,111.58,6929896.0,192107.3065
2015-06-19,112.62,112.83,113.48,112.4,9587721.0,191089.2498
2015-06-22,113.53,113.4,114.47,113.274,5906156.0,192633.3025
2015-06-23,114.41,113.93,114.52,113.72,6003070.0,194126.4524
2015-06-24,113.77,114.3,114.56,113.71,5636168.0,193040.5252
2015-06-25,114.45,114.62,115.275,114.39,6213483.0,194194.3228
2015-06-26,114.99,114.97,115.18,114.41,9509570.0,195110.5739
2015-06-29,113.05,114.16,115.19,113.0,7618224.0,191818.8571
2015-06-30,114.14,113.93,114.86,113.55,6946744.0,193668.3268
2015-07-01,115.13,114.95,115.25,114.34,5435397.0,195348.1205
2015-07-02,114.97,115.38,115.67,114.45,5549504.0,195076.6387
2015-07-06,115.7,114.47,115.86,114.27,5880490.0,196315.2744
2015-07-07,117.1,116.42,117.19,114.86,8359934.0,198690.7401
2015-07-08,115.19,116.5,116.68,115.11,8445169.0,195449.9261
2015-07-09,115.6,116.83,117.21,115.51,7016849.0,196145.5982
2015-07-10,116.44,117.05,117.43,115.67,7020711.0,197570.8777
2015-07-13,118.05,117.75,118.3099,117.25,7595237.0,200302.6633
2015-07-14,117.85,118.03,118.1399,117.7,5061659.0,199963.311
2015-07-15,118.3,118.04,118.9,117.85,4845200.0,200726.8536
2015-07-16,119.07,119.0,119.15,118.535,6303045.0,202033.3597
2015-07-17,118.86,118.69,118.9,118.03,5109909.0,201677.0399
2015-07-20,119.58,119.29,119.9,118.89,6950952.0,202898.7079
2015-07-21,119.31,119.76,119.8,118.83,4785194.0,202440.5824
2015-07-22,119.33,119.28,119.7,118.93,4714082.0,202474.5176
2015-07-23,118.8,119.3,119.6699,118.57,3347184.0,201575.2342
2015-07-24,118.91,119.35,119.8,118.58,4320854.0,201761.8779
2015-07-27,118.25,118.63,118.8,117.78,5179267.0,200642.0155
2015-07-28,118.46,118.68,118.9,117.87,6447319.0,200998.3354
2015-07-29,119.84,118.85,119.86,118.41,6083479.0,203339.8659
2015-07-30,120.03,119.71,120.35,119.01,4430097.0,203662.2505
2015-07-31,120.0,120.12,120.72,119.5994,5767280.0,203611.3477
2015-08-03,121.12,120.88,121.73,120.17,8426894.0,205511.7202
