,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2021-10-19,46.22,47.2,47.25,46.075,14646375.0,14957.2896
2021-10-20,45.95,46.9,46.9,45.58,19751205.0,14869.9147
2021-10-21,46.72,46.18,47.18,45.9801,13252595.0,15119.0949
2021-10-22,46.73,46.12,47.375,46.12,8565757.0,15122.331
2021-10-25,46.65,46.54,47.1799,46.2399,7494238.0,15096.4422
2021-10-26,46.79,47.1,47.63,46.5367,9345532.0,15141.7477
2021-10-27,45.82,47.12,47.43,45.7877,7896598.0,14827.8453
2021-10-28,46.01,45.995,46.26,45.44,7376817.0,14889.3313
2021-10-29,46.14,45.855,46.45,45.48,9674916.0,14931.4007
2021-11-01,48.05,46.18,48.15,45.82,13566892.0,15549.4973
2021-11-02,47.98,47.915,48.08,47.19,8764855.0,15526.8445
2021-11-03,49.05,47.78,49.23,47.1888,11270831.0,15873.108
2021-11-04,49.14,49.295,49.47,48.38,8659241.0,15902.233
2021-11-05,52.71,52.39,52.87,50.88,21551754.0,17057.5234
2021-11-08,53.11,53.87,54.52,52.81,14923105.0,17186.9677
2021-11-09,52.81,52.91,53.1,51.66,7623949.0,17089.8845
2021-11-10,51.77,51.9281,52.81,51.53,7155824.0,16753.3293
2021-11-11,51.34,51.57,52.15,51.31,5878841.0,16614.1767
2021-11-12,49.83,51.35,51.405,49.28,10277123.0,16125.5244
2021-11-15,50.48,50.2,50.83,50.07,6506751.0,16335.8714
2021-11-16,49.2,50.2,50.36,48.9201,9333059.0,15921.6496
2021-11-17,48.74,48.68,49.5,48.255,8291600.0,15772.7887
2021-11-18,47.43,48.68,48.85,46.91,9883648.0,15348.8586
2021-11-19,46.11,46.5377,46.5377,45.2201,17013976.0,14921.6924
2021-11-22,46.48,46.68,47.33,45.8,10953997.0,15041.4284
2021-11-23,46.7,46.745,47.584,46.46,7006859.0,15112.6227
2021-11-24,46.73,46.2,47.1279,45.8,5595585.0,15122.331
2021-11-26,42.26,43.665,43.71,40.11,36386880.0,13675.7909
2021-11-29,42.54,43.18,44.11,41.68,18487111.0,13766.4019
2021-11-30,42.26,41.4535,42.34,40.67,14919014.0,13675.7909
2021-12-01,39.06,43.03,43.57,38.88,27539017.0,12640.2365
2021-12-02,41.64,39.7718,42.04,38.9,24005568.0,13475.1523
2021-12-03,40.61,41.22,41.59,39.7,17327272.0,13141.8332
2021-12-06,43.99,41.605,45.41,41.531,27543837.0,14235.6376
2021-12-07,43.41,44.975,45.46,42.98,17780996.0,14047.9433
2021-12-08,45.25,43.737,46.6,43.59,22497259.0,14643.3871
2021-12-09,44.44,44.8,45.25,43.98,12453111.0,14381.2624
2021-12-10,44.05,44.16,44.29,43.1201,11038396.0,14255.0542
2021-12-13,41.74,42.84,42.99,41.05,16089480.0,13507.5133
2021-12-14,41.38,41.16,42.5941,41.16,12280254.0,13391.0135
2021-12-15,41.5,41.1,41.64,39.74,14853342.0,13429.8467
2021-12-16,40.05,42.33,42.65,39.88,12724177.0,12960.6111
2021-12-17,40.78,40.33,41.62,39.48,15031335.0,13196.847
2021-12-20,41.1,39.46,41.705,39.11,14567180.0,13300.4024
2021-12-21,43.93,41.62,44.23,41.5805,19615766.0,14216.2209
2021-12-22,44.57,43.95,45.205,43.51,13013124.0,14423.3318
2021-12-23,44.87,45.22,45.48,44.34,10322991.0,14520.415
2021-12-27,44.58,43.56,44.78,43.08,11239297.0,14426.5679
2021-12-28,45.27,44.32,45.8,44.05,9256245.0,14649.8593
2021-12-29,44.43,44.82,45.17,44.33,8341042.0,14378.0263
2021-12-30,44.13,44.29,45.2,44.07,9854573.0,14280.9431
2021-12-31,43.78,44.135,44.71,43.715,7398931.0,14167.6793
2022-01-03,45.49,44.6657,46.4,44.61,13889940.0,14721.0537
2022-01-04,46.25,46.55,47.02,45.9,11254866.0,14966.9979
2022-01-05,45.78,46.7,47.1,45.54,10987887.0,14814.9008
2022-01-06,45.77,46.46,46.9,45.21,8225848.0,14811.6647
2022-01-07,47.31,46.31,47.77,45.99,11643916.0,15310.0253
2022-01-10,46.58,47.525,47.77,46.18,9204548.0,15073.7894
2022-01-11,46.9,46.41,47.55,46.15,8589861.0,15177.3449
