,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2017-06-23,131.91,131.33,132.87,131.32,2864633.0,16000.8381
2017-06-26,132.8,132.68,133.65,132.205,723420.0,16108.7962
2017-06-27,135.74,135.05,138.55,134.98,1640634.0,16465.4216
2017-06-28,134.35,135.71,135.8,133.98,979796.0,16296.813
2017-06-29,134.52,133.73,134.95,132.96,860045.0,16317.4342
2017-06-30,134.9,134.61,135.849,134.01,1076501.0,16363.5286
2017-07-03,134.28,135.05,135.68,133.7,648222.0,16288.3219
2017-07-05,134.41,134.05,135.35,133.67,580301.0,16304.0911
2017-07-06,134.36,134.05,135.07,133.7,925417.0,16298.026
2017-07-07,136.68,134.42,137.02,134.42,1045185.0,16579.4447
2017-07-10,134.49,137.17,137.42,134.23,924038.0,16313.7952
2017-07-11,133.6,134.26,135.49,133.27,794681.0,16205.8371
2017-07-12,136.25,134.65,137.1,134.65,692464.0,16527.2852
2017-07-13,135.91,136.41,136.76,135.42,297567.0,16486.0428
2017-07-14,136.49,137.06,137.61,135.9,704846.0,16556.3975
2017-07-17,136.0,136.03,136.52,135.01,1130936.0,16496.9599
2017-07-18,137.49,136.0,137.97,135.79,1028462.0,16677.6987
2017-07-19,138.46,138.96,138.96,136.39,1064661.0,16795.3608
2017-07-20,135.81,138.16,138.99,135.55,1095917.0,16473.9127
2017-07-21,136.6,136.0,137.23,135.37,993179.0,16569.7406
2017-07-24,136.18,136.35,136.7,135.02,666596.0,16518.7941
2017-07-25,135.45,136.37,137.22,134.73,830475.0,16430.2443
2017-07-26,135.57,135.9,136.499,135.14,642130.0,16444.8004
2017-07-27,136.0,135.81,136.83,135.1,1024588.0,16496.9599
2017-07-28,137.64,135.62,138.11,135.62,1020957.0,16695.8939
2017-07-31,137.55,138.33,138.86,136.39,862690.0,16684.9768
2017-08-01,137.43,135.1,138.84,134.5,1089449.0,16670.4206
2017-08-02,138.0,137.81,138.65,136.98,832390.0,16739.5623
2017-08-03,138.36,138.35,138.725,137.35,1347503.0,16783.2307
2017-08-04,139.96,138.8,141.59,138.18,1037933.0,16845.2666
2017-08-07,139.52,139.37,140.29,137.91,535546.0,16792.3092
2017-08-08,138.22,138.83,139.54,137.76,493938.0,16635.8442
2017-08-09,139.03,138.37,139.29,137.68,576606.0,16733.334
2017-08-10,139.02,138.4,139.68,137.85,453973.0,16732.1304
2017-08-11,138.27,139.08,139.33,137.17,733781.0,16641.8621
2017-08-14,140.49,139.67,141.2,139.09,673694.0,16909.0562
2017-08-15,141.3,139.92,142.07,138.72,586189.0,17006.546
2017-08-16,143.72,141.59,144.1,141.57,1123885.0,17297.8117
2017-08-17,142.21,143.51,144.81,142.19,788421.0,17116.0715
2017-08-18,142.9,142.02,143.43,142.0,573649.0,17199.1183
2017-08-21,144.06,142.81,144.61,142.3,492962.0,17338.7333
2017-08-22,145.59,144.38,145.75,144.07,759868.0,17522.8806
2017-08-23,146.23,144.95,146.48,144.95,558617.0,17599.9095
2017-08-24,148.08,146.83,148.34,146.34,992257.0,17822.5713
2017-08-25,152.1,151.82,152.54,150.82,4331677.0,18306.4094
2017-08-28,152.36,151.87,153.8,151.44,2211973.0,18337.7024
2017-08-29,152.0,152.13,153.13,151.68,1792102.0,18294.3736
2017-08-30,153.04,151.11,153.16,150.75,2149061.0,18419.5456
