,LYV US Equity,LYV US Equity,LYV US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2022-02-11,115.75,26004.3947,1453192.0
2022-02-14,115.27,25896.5579,3392345.0
2022-02-15,119.75,26903.0346,3857530.0
2022-02-16,120.25,27015.3646,3249996.0
2022-02-17,116.48,26168.3965,2439829.0
2022-02-18,117.44,26384.07,2437678.0
2022-02-22,117.05,26296.4526,3382645.0
2022-02-23,113.4,25472.5681,3730622.0
2022-02-24,124.39,27941.2059,6427805.0
2022-02-25,126.04,28311.8385,3431773.0
2022-02-28,120.82,27139.2917,4457504.0
2022-03-01,116.7,26213.8333,3702833.0
2022-03-02,120.81,27137.0454,2468878.0
2022-03-03,116.23,26108.2592,2547262.0
2022-03-04,114.38,25692.7014,2932200.0
2022-03-07,100.31,22532.2161,5423636.0
2022-03-08,106.01,23812.5833,4466079.0
2022-03-09,109.9,24686.3777,3027238.0
2022-03-10,111.56,25059.2566,1790749.0
2022-03-11,108.55,24383.1329,2238355.0
2022-03-14,108.04,24268.5737,2136707.0
2022-03-15,111.76,25104.1818,1811713.0
2022-03-16,112.01,25160.3382,3255204.0
2022-03-17,111.17,24971.6525,2636668.0
2022-03-18,112.98,25378.2253,3015144.0
2022-03-21,113.93,25591.6198,2479232.0
2022-03-22,117.98,26501.3544,2004795.0
2022-03-23,115.27,25892.6184,1799424.0
2022-03-24,117.88,26478.8918,1852145.0
2022-03-25,116.3,26123.983,1382175.0
2022-03-28,117.58,26411.504,1626345.0
2022-03-29,119.5,26842.7856,1646482.0
2022-03-30,117.76,26451.9367,1387795.0
2022-03-31,117.64,26424.9816,1597377.0
2022-04-01,114.37,25690.4551,1730928.0
2022-04-04,116.17,26094.7816,1685747.0
2022-04-05,113.61,25519.7395,1455230.0
2022-04-06,109.58,24614.4975,2611844.0
2022-04-07,109.61,24621.2362,1450097.0
2022-04-08,107.88,24232.6336,995886.0
2022-04-11,107.88,24232.6336,1757008.0
2022-04-12,108.34,24335.9614,1413751.0
2022-04-13,112.96,25373.7327,2393174.0
2022-04-14,111.31,25003.1001,1175196.0
2022-04-18,109.24,24538.1247,1276963.0
2022-04-19,113.74,25548.9409,1740298.0
2022-04-20,112.2,25203.0171,1367571.0
2022-04-21,106.76,23981.0526,1886413.0
2022-04-22,105.91,23790.1207,1188612.0
2022-04-25,109.68,24636.96,1619498.0
2022-04-26,107.61,24171.9846,1951004.0
2022-04-27,106.74,24277.1548,1585137.0
2022-04-28,107.92,24545.5363,1506344.0
2022-04-29,104.88,23854.1128,1389299.0
2022-05-02,104.84,23845.0151,1643712.0
2022-05-03,99.43,22614.5541,3433546.0
2022-05-04,99.37,22600.9076,4895682.0
2022-05-05,95.13,21695.7161,3385851.0
2022-05-06,92.51,21098.1888,5398032.0
2022-05-09,85.37,19469.8128,3802271.0
2022-05-10,88.14,20101.5497,3432751.0
2022-05-11,84.13,19187.0136,3013908.0
2022-05-12,87.09,19862.0826,4291875.0
2022-05-13,91.25,20810.8283,2997748.0
2022-05-16,86.97,19834.7149,1753042.0
2022-05-17,85.69,19542.7932,4623199.0
2022-05-18,85.39,19474.374,2618053.0
2022-05-19,90.5,20639.7804,4097483.0
2022-05-20,89.28,20361.5425,2335533.0
2022-05-23,89.23,20350.1393,1726531.0
2022-05-24,84.45,19259.994,1874648.0
2022-05-25,91.16,20790.3026,3885155.0
2022-05-26,92.89,21184.8531,2057063.0
2022-05-27,95.49,21777.8191,1820072.0
2022-05-31,95.05,21677.471,2363648.0
2022-06-01,94.51,21554.3165,2029778.0
