,STT US Equity,STT US Equity,STT US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2019-01-04,64.19,24362.3959,4080579.0
2019-01-07,64.99,24666.0244,4119868.0
2019-01-08,65.27,24772.2944,2783996.0
2019-01-09,66.78,25345.3933,2882849.0
2019-01-10,66.51,25242.9187,2699901.0
2019-01-11,67.01,25432.6865,1840637.0
2019-01-14,68.46,25983.0133,3020170.0
2019-01-15,68.66,26058.9204,2201928.0
2019-01-16,70.47,26745.88,2990515.0
2019-01-17,71.05,26966.0107,4718314.0
2019-01-18,71.3,27090.2014,10251695.0
2019-01-22,70.59,26820.4392,4663212.0
2019-01-23,70.82,26907.827,2470195.0
2019-01-24,71.32,27097.8004,2977322.0
2019-01-25,72.64,27599.33,2003091.0
2019-01-28,71.53,27177.5892,3198243.0
2019-01-29,70.63,26835.6371,2931888.0
2019-01-30,71.02,26983.8163,3053047.0
2019-01-31,70.9,26938.2227,3851334.0
2019-02-01,71.17,27040.8083,2856713.0
2019-02-04,71.1,27014.2121,3758357.0
2019-02-05,70.91,26942.0222,1874094.0
2019-02-06,70.24,26687.4579,3692141.0
2019-02-07,69.76,26505.0835,4183228.0
2019-02-08,68.96,26201.1261,2686204.0
2019-02-11,68.79,26136.5351,3035241.0
2019-02-12,69.51,26410.0968,4201828.0
2019-02-13,69.49,26402.4979,3827300.0
2019-02-14,68.66,26087.1421,2352815.0
2019-02-15,70.66,26847.0355,3620622.0
2019-02-19,71.37,27116.7977,2308582.0
2019-02-20,72.24,27447.3513,2366336.0
2019-02-21,72.18,27331.6617,2256154.0
2019-02-22,72.4,27414.9668,2482500.0
2019-02-25,72.47,27441.473,3278771.0
2019-02-26,72.65,27509.6318,2633099.0
2019-02-27,72.44,27430.1132,1700683.0
2019-02-28,71.87,27214.2772,1806203.0
2019-03-01,72.8,27566.4307,2362699.0
2019-03-04,71.49,27070.3865,1840058.0
2019-03-05,71.53,27085.5328,1583687.0
2019-03-06,70.5,26695.5133,1166850.0
2019-03-07,68.38,25892.7546,3059683.0
2019-03-08,68.1,25786.7299,2059527.0
2019-03-11,68.69,26010.1391,1853080.0
2019-03-12,69.0,26127.5236,1926225.0
2019-03-13,69.85,26449.3844,1620698.0
2019-03-14,70.29,26615.9947,1918150.0
2019-03-15,70.1,26544.0494,4438338.0
2019-03-18,70.82,26816.6844,1946394.0
2019-03-19,70.16,26566.769,1484588.0
2019-03-20,68.26,25847.3154,2863374.0
2019-03-21,68.08,25779.1567,1936850.0
2019-03-22,65.0,24612.8846,3144850.0
2019-03-25,64.88,24567.4454,1855198.0
2019-03-26,66.18,25059.7031,1397795.0
2019-03-27,65.52,24809.7877,1782216.0
2019-03-28,66.27,25093.7825,1549019.0
2019-03-29,65.81,24919.599,2106213.0
