,ON US Equity,ON US Equity,ON US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2016-05-31,9.77,4052.502,3541853.0
2016-06-01,9.95,4127.1642,4231323.0
2016-06-02,9.86,4089.8331,3201747.0
2016-06-03,9.71,4027.6145,2263478.0
2016-06-06,9.81,4069.0936,3929757.0
2016-06-07,10.07,4176.9391,5911853.0
2016-06-08,10.02,4156.1996,1898951.0
2016-06-09,10.02,4156.1996,4451869.0
2016-06-10,9.8,4064.9457,4001755.0
2016-06-13,9.98,4139.6079,7231668.0
2016-06-14,9.77,4052.502,11463141.0
2016-06-15,9.7,4023.4666,8605624.0
2016-06-16,9.49,3936.3607,12189518.0
2016-06-17,9.45,3919.769,6063394.0
2016-06-20,9.78,4056.6499,5590921.0
2016-06-21,9.78,4056.6499,2669886.0
2016-06-22,9.69,4019.3187,2633619.0
2016-06-23,9.87,4093.981,2316451.0
2016-06-24,9.09,3770.4445,14290589.0
2016-06-27,8.24,3417.8727,10065290.0
2016-06-28,8.67,3596.2325,5863945.0
2016-06-29,8.69,3604.5284,3631945.0
2016-06-30,8.82,3658.4511,3047121.0
2016-07-01,8.78,3641.8595,2324416.0
2016-07-05,8.46,3509.1266,3202239.0
2016-07-06,8.47,3513.2745,4442262.0
2016-07-07,8.72,3616.9721,5525450.0
2016-07-08,8.91,3695.7822,6591448.0
2016-07-11,9.17,3803.6277,3937714.0
2016-07-12,9.31,3861.6984,2832684.0
2016-07-13,9.3,3857.5505,2418556.0
2016-07-14,9.44,3915.6211,2170188.0
2016-07-15,9.39,3894.8816,1816383.0
2016-07-18,9.51,3944.6565,1636609.0
2016-07-19,9.47,3928.0648,3148230.0
2016-07-20,9.66,4006.875,2418246.0
2016-07-21,9.53,3952.9523,3669269.0
2016-07-22,9.56,3965.396,2001164.0
2016-07-25,9.6,3981.9876,1853107.0
2016-07-26,10.17,4218.4181,8474563.0
2016-07-27,10.2,4230.8618,6495966.0
2016-07-28,10.07,4176.9391,3874509.0
2016-07-29,10.03,4160.3475,2717530.0
2016-08-01,10.03,4160.3475,3016936.0
2016-08-02,9.71,4027.6145,2421735.0
2016-08-03,9.7,4023.4666,2218578.0
2016-08-04,9.78,4056.6499,1762707.0
2016-08-05,9.99,4143.7558,4389454.0
2016-08-08,10.11,4201.2215,8989077.0
2016-08-09,10.33,4292.6427,8332839.0
2016-08-10,10.3,4280.1762,5632811.0
2016-08-11,10.27,4267.7097,5836077.0
2016-08-12,10.1,4197.066,2716291.0
2016-08-15,10.38,4313.4203,4236106.0
2016-08-16,10.22,4246.9321,2615661.0
2016-08-17,10.3,4280.1762,2684788.0
2016-08-18,10.23,4251.0876,2664584.0
2016-08-19,10.24,4255.2431,3474372.0
2016-08-22,10.36,4305.1093,3038783.0
2016-08-23,10.61,4408.997,4319301.0
2016-08-24,10.71,4450.5521,5566207.0
2016-08-25,11.01,4575.2175,8912816.0
2016-08-26,11.03,4583.5285,12254902.0
2016-08-29,10.98,4562.7509,4045582.0
2016-08-30,10.89,4525.3513,5040828.0
2016-08-31,10.8,4487.9517,3725154.0
2016-09-01,10.99,4566.9064,2670701.0
2016-09-02,11.03,4583.5285,2819674.0
2016-09-06,10.88,4521.1958,2077513.0
2016-09-07,10.92,4537.8179,3886791.0
2016-09-08,10.74,4463.0187,4156777.0
2016-09-09,10.26,4263.5541,5178418.0
2016-09-12,10.44,4338.3533,4646971.0
2016-09-13,10.24,4255.2431,4756485.0
2016-09-14,10.39,4317.5758,4059543.0
2016-09-15,10.78,4479.6407,4614372.0
2016-09-16,11.31,4699.8828,15007487.0
2016-09-19,11.52,4787.1485,10953299.0
2016-09-20,11.58,4812.0816,9069871.0
2016-09-21,11.78,4895.1918,4021229.0
2016-09-22,12.04,5003.2351,11686553.0
2016-09-23,11.71,4866.1032,7093553.0
2016-09-26,11.61,4824.5481,4245247.0
2016-09-27,11.79,4899.3473,4701430.0
2016-09-28,11.93,4957.5245,3393032.0
2016-09-29,12.1,5028.1681,6707917.0
2016-09-30,12.32,5119.5894,6265280.0
2016-10-03,12.22,5078.0343,6396860.0
2016-10-04,12.18,5061.4122,4740045.0
2016-10-05,12.4,5152.8335,4563623.0
2016-10-06,12.43,5165.3,6259948.0
2016-10-07,12.28,5102.9673,3271622.0
2016-10-10,12.13,5040.6347,3288070.0
2016-10-11,11.79,4899.3473,6497671.0
2016-10-12,11.65,4841.1702,3973438.0
2016-10-13,11.57,4807.9261,5066051.0
2016-10-14,11.59,4816.2371,3046404.0
2016-10-17,11.51,4782.993,2194531.0
2016-10-18,11.67,4849.4812,4479111.0
2016-10-19,11.72,4870.2587,2643222.0
2016-10-20,11.81,4907.6583,2507444.0
2016-10-21,11.82,4911.8138,2206292.0
2016-10-24,12.09,5024.0126,2331425.0
2016-10-25,11.91,4949.2134,3397830.0
2016-10-26,11.71,4866.1032,4772385.0
2016-10-27,11.64,4837.0146,3953977.0
2016-10-28,11.53,4791.304,5542435.0
2016-10-31,11.67,4849.4812,2207350.0
2016-11-01,11.69,4857.7922,2670938.0
2016-11-02,11.48,4770.5265,7043949.0
2016-11-03,11.51,4782.993,2489086.0
2016-11-04,11.57,4807.9261,4570997.0
2016-11-07,11.46,4778.3937,11853253.0
2016-11-08,11.18,4661.6441,8650434.0
2016-11-09,11.22,4678.3226,4938904.0
2016-11-10,10.95,4565.7426,7848092.0
2016-11-11,11.22,4678.3226,5486259.0
2016-11-14,11.4,4753.3759,5257345.0
2016-11-15,11.53,4807.5811,4350576.0
2016-11-16,11.45,4774.224,5147297.0
2016-11-17,11.48,4786.7329,3984328.0
2016-11-18,11.17,4657.4745,6995195.0
2016-11-21,11.47,4782.5633,6285491.0
2016-11-22,11.88,4953.5181,9800326.0
2016-11-23,12.44,5187.0172,11628881.0
2016-11-25,12.43,5182.8476,2024998.0
2016-11-28,12.12,5053.5891,7915454.0
2016-11-29,11.91,4966.0269,3946047.0
2016-11-30,11.78,4911.8218,5982891.0
2016-12-01,10.97,4574.0819,11304894.0
2016-12-02,11.12,4636.6263,5502811.0
2016-12-05,11.23,4682.4922,4723028.0
2016-12-06,11.36,4736.6974,3641590.0
2016-12-07,11.82,4928.5003,16055684.0
2016-12-08,11.91,4966.0269,6953955.0
2016-12-09,12.22,5095.2854,12070637.0
2016-12-12,11.96,4986.8751,10674119.0
2016-12-13,12.41,5174.5083,14634415.0
2016-12-14,12.48,5203.6957,10732746.0
2016-12-15,13.03,5433.0253,31143030.0
2016-12-16,12.84,5353.8023,10076792.0
2016-12-19,12.82,5345.4631,3387010.0
2016-12-20,12.81,5341.2935,3745845.0
2016-12-21,12.69,5291.2579,5066770.0
2016-12-22,12.73,5307.9364,4668444.0
2016-12-23,12.97,5408.0075,4130724.0
2016-12-27,13.13,5474.7216,4798092.0
2016-12-28,13.07,5449.7038,5671898.0
2016-12-29,12.97,5408.0075,5476077.0
2016-12-30,12.76,5320.4453,5866331.0
2017-01-03,12.69,5291.2579,10438467.0
2017-01-04,13.0,5420.5164,9216797.0
2017-01-05,12.85,5357.972,7193409.0
2017-01-06,13.01,5424.686,5747162.0
2017-01-09,13.34,5562.2837,7460804.0
2017-01-10,13.45,5608.1496,4244703.0
2017-01-11,13.51,5633.1674,6130419.0
2017-01-12,13.43,5599.8104,5056954.0
2017-01-13,13.47,5616.4889,6286991.0
2017-01-17,13.18,5495.5697,4952348.0
2017-01-18,13.26,5528.9267,6045833.0
2017-01-19,13.11,5466.3823,8526676.0
2017-01-20,13.4,5587.3015,6418863.0
2017-01-23,13.5,5628.9978,5861854.0
2017-01-24,13.62,5679.0333,4785842.0
2017-01-25,13.9,5795.7829,5674444.0
2017-01-26,13.86,5779.1044,4378503.0
2017-01-27,13.88,5787.4437,2322016.0
2017-01-30,13.75,5733.2385,4812892.0
2017-01-31,13.32,5553.9445,8658476.0
2017-02-01,13.7,5712.3903,6335613.0
2017-02-02,13.69,5708.2207,2770747.0
2017-02-03,13.94,5812.4614,4404351.0
2017-02-06,13.87,5783.274,2600151.0
2017-02-07,13.96,5820.8007,3611222.0
2017-02-08,14.01,5841.6488,5614026.0
2017-02-09,13.96,5820.8007,3073887.0
2017-02-10,14.14,5895.854,7156947.0
2017-02-13,14.94,6229.4242,21425597.0
2017-02-14,15.31,6383.7005,16200869.0
2017-02-15,15.625,6515.0437,6417292.0
2017-02-16,15.53,6475.4323,5228077.0
2017-02-17,15.6,6504.6197,4135542.0
2017-02-21,15.98,6663.0655,5476731.0
2017-02-22,16.0,6671.4048,6447900.0
2017-02-23,15.62,6512.9589,6867339.0
2017-02-24,15.33,6392.0397,8551178.0
2017-02-27,15.53,6475.4323,6502396.0
2017-02-28,15.13,6348.7125,4946040.0
2017-03-01,15.33,6432.6346,5924848.0
2017-03-02,15.16,6361.3008,5679319.0
2017-03-03,15.21,6382.2813,5733670.0
2017-03-06,15.26,6403.2619,4412717.0
2017-03-07,15.29,6415.8502,4007770.0
2017-03-08,15.03,6306.7514,8205904.0
2017-03-09,15.2,6378.0852,5110887.0
2017-03-10,15.22,6386.4774,7350300.0
2017-03-13,15.31,6424.2424,4395349.0
2017-03-14,15.35,6441.0269,9088407.0
2017-03-15,15.22,6386.4774,21704281.0
2017-03-16,15.24,6394.8697,13976573.0
2017-03-17,15.25,6399.0658,6749390.0
2017-03-20,15.25,6399.0658,4967838.0
2017-03-21,14.66,6151.4954,6288357.0
2017-03-22,14.91,6256.3981,6334466.0
2017-03-23,14.96,6277.3786,5103558.0
2017-03-24,15.18,6369.693,6157218.0
2017-03-27,15.01,6305.7176,5189665.0
2017-03-28,15.29,6423.3459,6057665.0
2017-03-29,15.18,6377.1348,4204322.0
2017-03-30,15.42,6477.959,4643610.0
2017-03-31,15.49,6507.3661,5703203.0
2017-04-03,15.07,6330.9236,6102347.0
2017-04-04,14.9,6259.5065,5744291.0
2017-04-05,14.79,6213.2953,6905058.0
2017-04-06,15.08,6335.1247,4320343.0
2017-04-07,15.15,6364.5317,4940769.0
2017-04-10,15.1,6343.5267,3059457.0
2017-04-11,14.6,6133.4761,18484931.0
2017-04-12,14.24,5982.2363,11362537.0
2017-04-13,14.11,5927.6231,6974032.0
2017-04-17,14.28,5999.0403,4825014.0
2017-04-18,14.45,6070.4574,5998989.0
2017-04-19,14.5,6091.4625,8170188.0
2017-04-20,14.83,6230.0958,5166826.0
2017-04-21,14.19,5961.2312,13796398.0
2017-04-24,14.65,6154.4776,7249723.0
2017-04-25,14.52,6099.8645,7214259.0
2017-04-26,14.42,6057.8544,8344721.0
2017-04-27,14.66,6158.6786,6066805.0
2017-04-28,14.18,5957.0302,4845083.0
2017-05-01,14.35,6028.4473,3868938.0
2017-05-02,13.95,5860.407,7992648.0
2017-05-03,13.9,5839.402,6014505.0
2017-05-04,14.07,5910.8191,4102994.0
2017-05-05,14.42,6057.8544,7350102.0
2017-05-08,14.43,6071.2979,8503933.0
2017-05-09,15.01,6315.3279,7140420.0
2017-05-10,14.79,6222.7648,3987745.0
2017-05-11,14.88,6260.6315,5909267.0
2017-05-12,14.82,6235.387,3608300.0
2017-05-15,15.32,6445.7577,5936270.0
2017-05-16,15.94,6706.6173,7967721.0
2017-05-17,15.06,6336.3649,5868224.0
2017-05-18,15.18,6386.8539,5720262.0
2017-05-19,15.42,6487.8318,4646267.0
2017-05-22,15.57,6550.943,3657428.0
2017-05-23,15.29,6433.1354,4960659.0
2017-05-24,15.5,6521.4911,3714951.0
2017-05-25,15.5,6521.4911,4263460.0
2017-05-26,15.49,6517.2837,4448945.0
2017-05-30,15.59,6559.3579,5772968.0
2017-05-31,15.48,6513.0763,4501234.0
2017-06-01,15.58,6555.1504,5071873.0
2017-06-02,15.86,6672.958,4336937.0
2017-06-05,16.11,6778.1434,6394505.0
2017-06-06,16.09,6769.7285,3895329.0
2017-06-07,16.25,6837.0472,5507369.0
2017-06-08,16.65,7005.3437,4961885.0
2017-06-09,16.1,6773.936,10954531.0
2017-06-12,15.73,6618.2616,9762460.0
2017-06-13,15.97,6719.2396,5849808.0
2017-06-14,15.67,6593.017,5129680.0
2017-06-15,15.43,6492.0391,8219640.0
2017-06-16,15.38,6471.002,5226872.0
2017-06-19,15.65,6584.6022,4018127.0
2017-06-20,15.08,6344.7796,9346021.0
2017-06-21,15.1,6353.1944,5230413.0
2017-06-22,14.96,6294.2907,7206636.0
2017-06-23,15.07,6340.5722,13698204.0
2017-06-26,14.97,6298.4981,4478827.0
2017-06-27,14.37,6046.0533,6001907.0
2017-06-28,14.65,6163.8608,6750902.0
2017-06-29,14.22,5982.9421,6519322.0
2017-06-30,14.04,5907.2086,5280456.0
2017-07-03,13.8,5806.2307,1492008.0
2017-07-05,14.05,5911.416,5478550.0
2017-07-06,14.07,5919.8309,6227326.0
2017-07-07,14.3,6016.6014,7070080.0
2017-07-10,14.45,6079.7126,5225669.0
2017-07-11,14.46,6083.92,3270176.0
2017-07-12,14.93,6281.6684,7869428.0
2017-07-13,14.9,6269.0462,4427521.0
2017-07-14,15.08,6344.7796,3480568.0
2017-07-17,15.01,6315.3277,2937534.0
2017-07-18,15.35,6458.3798,5621816.0
2017-07-19,15.66,6588.8096,4464773.0
2017-07-20,15.72,6614.0541,3621103.0
2017-07-21,15.2,6395.2686,6908113.0
2017-07-24,15.13,6365.8167,3635299.0
2017-07-25,15.08,6344.7796,5673689.0
2017-07-26,15.64,6580.3948,7786493.0
2017-07-27,15.24,6412.0982,5781242.0
2017-07-28,15.08,6344.7796,3338988.0
2017-07-31,14.95,6290.0832,3029671.0
2017-08-01,15.05,6332.1574,3754350.0
2017-08-02,14.8,6226.972,4637081.0
2017-08-03,14.91,6273.2536,6447040.0
2017-08-04,15.1,6353.1944,7379277.0
2017-08-07,16.33,6884.139,15219914.0
2017-08-08,16.44,6930.511,10592433.0
2017-08-09,16.36,6896.7859,9036728.0
2017-08-10,15.57,6563.7504,7634970.0
2017-08-11,15.94,6719.7291,7609144.0
2017-08-14,16.45,6934.7267,7865137.0
2017-08-15,16.45,6934.7267,6002379.0
2017-08-16,16.5,6955.8049,8788043.0
2017-08-17,15.99,6740.8073,6797733.0
2017-08-18,15.94,6719.7291,4132975.0
2017-08-21,15.75,6639.6319,5815151.0
2017-08-22,16.04,6761.8855,4264858.0
2017-08-23,16.3,6871.4921,5297549.0
2017-08-24,16.33,6884.139,3694917.0
2017-08-25,16.03,6757.6698,4265279.0
2017-08-28,16.14,6804.0419,2762247.0
2017-08-29,16.18,6820.9044,3877075.0
2017-08-30,17.06,7191.8807,10110137.0
2017-08-31,17.08,7200.312,4922041.0
2017-09-01,17.25,7271.9778,4499830.0
2017-09-05,16.8,7082.2741,6443373.0
2017-09-06,16.56,6981.0987,4269414.0
2017-09-07,16.75,7061.1959,7454632.0
2017-09-08,16.6,6997.9613,2920946.0
2017-09-11,17.12,7217.1745,3726495.0
2017-09-12,16.99,7162.3712,4019510.0
2017-09-13,16.82,7090.7053,6598540.0
2017-09-14,16.9,7124.4305,3726316.0
2017-09-15,17.38,7326.7811,7792790.0
2017-09-18,17.46,7360.5063,4319570.0
2017-09-19,17.62,7427.9565,6485961.0
2017-09-20,17.38,7326.7811,6018830.0
2017-09-21,17.39,7330.9968,5596225.0
2017-09-22,17.64,7436.3878,3937791.0
2017-09-25,17.67,7449.0347,11090040.0
2017-09-26,17.7,7461.6816,5099391.0
2017-09-27,18.15,7651.3854,6072673.0
2017-09-28,18.34,7731.4825,3985665.0
2017-09-29,18.47,7786.2858,3689043.0
2017-10-02,18.79,7921.1863,9050315.0
2017-10-03,18.91,7971.774,9823189.0
2017-10-04,19.08,8043.4398,5189351.0
2017-10-05,19.2,8094.0275,3364676.0
2017-10-06,19.23,8106.6744,3433109.0
2017-10-09,19.31,8140.3995,4324234.0
2017-10-10,19.38,8169.909,5849597.0
2017-10-11,19.42,8186.7716,7034957.0
2017-10-12,19.24,8110.8901,4954817.0
2017-10-13,19.57,8250.0061,6992675.0
2017-10-16,19.59,8258.4374,4925679.0
2017-10-17,19.6,8262.6531,3853996.0
2017-10-18,19.71,8309.0251,3969542.0
2017-10-19,19.67,8292.1625,6473003.0
2017-10-20,20.07,8460.7881,7431494.0
2017-10-23,20.08,8465.0038,6209442.0
2017-10-24,20.37,8587.2573,3406602.0
2017-10-25,20.22,8524.0227,5177776.0
2017-10-26,20.4,8599.9042,3099965.0
2017-10-27,20.75,8747.4516,5284714.0
2017-10-30,20.96,8835.98,6319283.0
2017-10-31,21.32,8987.743,7940419.0
2017-11-01,21.17,8924.5084,9163552.0
2017-11-02,21.24,8954.0179,5478126.0
2017-11-03,21.65,9126.8591,8448966.0
2017-11-06,21.41,9081.3138,16578486.0
2017-11-07,21.61,9166.1462,9532929.0
2017-11-08,21.85,9267.9452,6093834.0
2017-11-09,21.43,9089.797,6647739.0
2017-11-10,21.56,9144.9381,6375784.0
2017-11-13,21.58,9153.4214,6357574.0
2017-11-14,21.42,9085.5554,6076347.0
2017-11-15,21.1,8949.8235,5350540.0
2017-11-16,21.39,9072.8305,4276176.0
2017-11-17,21.44,9094.0386,4791913.0
2017-11-20,21.72,9212.8041,3689175.0
2017-11-21,21.94,9306.1198,4275081.0
2017-11-22,21.37,9064.3473,5619515.0
2017-11-24,21.53,9132.2132,2192499.0
2017-11-27,21.11,8954.0651,5354983.0
2017-11-28,21.12,8958.3067,6044644.0
2017-11-29,19.98,8474.7618,9832609.0
2017-11-30,20.08,8517.178,6416949.0
2017-12-01,19.86,8423.8623,7169062.0
2017-12-04,18.98,8050.5995,9796661.0
2017-12-05,19.16,8126.9487,9095110.0
2017-12-06,19.22,8152.3984,5007026.0
2017-12-07,19.5,8271.1639,6012505.0
2017-12-08,19.42,8237.2309,4795060.0
2017-12-11,19.48,8262.6806,5362821.0
2017-12-12,19.36,8211.7812,7154296.0
2017-12-13,19.51,8275.4055,4882363.0
2017-12-14,19.54,8288.1304,6367537.0
2017-12-15,19.9,8440.8288,5127422.0
2017-12-18,20.84,8839.5413,7307449.0
2017-12-19,20.8,8822.5748,7821893.0
2017-12-20,20.96,8890.4408,3521947.0
2017-12-21,20.9,8864.991,2888929.0
2017-12-22,20.86,8848.0245,2558279.0
2017-12-26,20.87,8852.2662,2475366.0
2017-12-27,21.16,8975.2732,4120525.0
2017-12-28,21.13,8962.5483,2588288.0
2017-12-29,20.94,8881.9575,3996265.0
2018-01-02,21.81,9250.9787,7027432.0
2018-01-03,22.78,9662.4161,7889811.0
2018-01-04,22.78,9662.4161,5719730.0
2018-01-05,22.83,9683.6242,4773694.0
2018-01-08,22.97,9743.0069,3271438.0
2018-01-09,22.92,9721.7988,5407256.0
2018-01-10,22.64,9603.0333,6137320.0
2018-01-11,23.08,9789.6647,6446558.0
2018-01-12,23.57,9997.5042,5906385.0
2018-01-16,23.5,9967.8129,6673803.0
2018-01-17,23.92,10145.961,6988654.0
2018-01-18,24.74,10493.7741,12371052.0
2018-01-19,25.04,10621.0227,6543511.0
2018-01-22,25.37,10760.9963,6865979.0
2018-01-23,25.15,10667.6806,7291995.0
2018-01-24,24.59,10430.1497,14479016.0
2018-01-25,23.82,10103.5448,11520524.0
2018-01-26,25.14,10663.439,10204065.0
2018-01-29,25.42,10782.2044,6563237.0
2018-01-30,24.74,10493.7741,7248619.0
2018-01-31,24.74,10493.7741,6185372.0
2018-02-01,24.32,10315.6259,7450047.0
2018-02-02,23.69,10048.4037,13296413.0
2018-02-05,22.64,9603.0333,12579854.0
2018-02-06,22.68,9619.9998,14763363.0
2018-02-07,22.06,9357.0192,12055660.0
2018-02-08,20.81,8826.8164,9966768.0
2018-02-09,21.15,8971.0316,13112366.0
2018-02-12,21.34,9051.6224,7660937.0
2018-02-13,21.76,9229.7706,7843683.0
2018-02-14,22.34,9475.7847,7454596.0
2018-02-15,22.8,9670.8993,6622765.0
2018-02-16,22.54,9560.6171,4446741.0
2018-02-20,23.56,9993.2626,7358915.0
2018-02-21,23.23,9882.987,6146963.0
2018-02-22,23.14,9844.6973,4563931.0
2018-02-23,23.74,10099.9617,4417141.0
2018-02-26,24.37,10367.9893,7090499.0
2018-02-27,24.33,10350.9717,9704611.0
2018-02-28,23.92,10176.541,7267833.0
2018-03-01,23.86,10151.0146,8275949.0
2018-03-02,24.43,10393.5158,5281794.0
2018-03-05,24.46,10406.279,5872781.0
2018-03-06,25.47,10835.9741,13350814.0
2018-03-07,25.76,10959.3519,9042493.0
2018-03-08,26.06,11086.9841,6675320.0
2018-03-09,26.59,11312.4677,8616731.0
2018-03-12,26.8,11401.8102,4681447.0
2018-03-13,26.02,11069.9665,6030599.0
2018-03-14,25.74,10950.8431,5858971.0
2018-03-15,25.76,10959.3519,3611520.0
2018-03-16,25.87,11006.1504,5560857.0
2018-03-19,25.51,10852.9917,7717316.0
2018-03-20,25.95,11040.1856,5566589.0
2018-03-21,26.5,11274.178,11340791.0
2018-03-22,25.9,11018.9136,7598298.0
2018-03-23,25.04,10653.0346,9466248.0
2018-03-26,26.12,11112.5105,6623161.0
2018-03-27,24.96,10618.9993,7900607.0
2018-03-28,23.81,10129.7426,9042849.0
2018-03-29,24.46,10406.279,5503665.0
2018-04-02,23.37,9942.5487,5612466.0
2018-04-03,23.53,10010.6192,6450882.0
2018-04-04,24.33,10350.9717,5708557.0
2018-04-05,24.22,10304.1732,5375461.0
2018-04-06,23.42,9963.8207,5948537.0
2018-04-09,23.56,10023.3824,5850548.0
2018-04-10,24.54,10440.3143,4481952.0
2018-04-11,24.59,10511.2231,4421794.0
2018-04-12,25.36,10840.3667,5355300.0
2018-04-13,25.01,10690.756,3695273.0
2018-04-16,25.05,10707.8543,3515372.0
2018-04-17,25.74,11002.8012,5115264.0
2018-04-18,25.56,10925.8586,4565475.0
2018-04-19,24.01,10263.2967,9482572.0
2018-04-20,23.63,10100.8622,6785823.0
2018-04-23,23.48,10036.7433,7058344.0
2018-04-24,23.31,9964.0752,5092193.0
2018-04-25,23.12,9882.858,7101679.0
2018-04-26,23.75,10152.1573,5759038.0
2018-04-27,22.98,9823.0137,9211005.0
2018-04-30,22.08,9440.5881,13208712.0
2018-05-01,22.16,9474.7931,9773822.0
2018-05-02,22.2,9491.8956,7418984.0
2018-05-03,22.08,9440.5881,9870298.0
2018-05-04,22.64,9680.0233,5098282.0
2018-05-07,22.86,9774.0871,4494477.0
2018-05-08,22.92,9799.7409,5089359.0
2018-05-09,23.26,9945.1123,5635852.0
2018-05-10,23.61,10094.7593,3351148.0
2018-05-11,23.39,10000.6954,3718762.0
2018-05-14,23.69,10128.9643,3424033.0
2018-05-15,23.66,10116.1374,5444443.0
2018-05-16,23.82,10184.5475,4002239.0
2018-05-17,23.7,10133.2399,4151380.0
2018-05-18,23.7,10133.2399,4347250.0
2018-05-21,23.84,10193.0987,3185846.0
2018-05-22,24.18,10338.4701,5094594.0
2018-05-23,24.15,10325.6432,4189928.0
2018-05-24,25.02,10697.6229,17947728.0
2018-05-25,25.85,11052.5001,11413002.0
2018-05-29,25.47,10890.0262,9934041.0
2018-05-30,25.58,10937.0581,6636438.0
2018-05-31,25.13,10744.6548,27704072.0
2018-06-01,25.75,11009.7438,7433482.0
2018-06-04,26.2,11202.1471,9466374.0
2018-06-05,26.22,11210.6983,6798750.0
2018-06-06,26.16,11185.0446,4943229.0
2018-06-07,25.72,10996.9169,8260578.0
2018-06-08,25.2,10774.5842,7076821.0
2018-06-11,25.1,10731.8279,4968899.0
2018-06-12,25.11,10736.1036,7999886.0
2018-06-13,25.3,10817.3405,6352197.0
2018-06-14,25.89,11069.6026,5622231.0
2018-06-15,25.61,10949.885,6608961.0
2018-06-18,25.37,10847.2699,3856735.0
2018-06-19,24.76,10586.4566,6590277.0
2018-06-20,25.17,10761.7573,3612635.0
2018-06-21,24.69,10556.5272,5186171.0
2018-06-22,24.08,10295.7138,7446984.0
2018-06-25,23.17,9906.6316,8921871.0
2018-06-26,23.1,9876.7022,7617836.0
2018-06-27,22.47,9607.3376,4900852.0
2018-06-28,22.28,9526.1007,11984048.0
2018-06-29,22.235,9506.8603,6424993.0
2018-07-02,22.59,9658.6451,4726737.0
2018-07-03,22.15,9470.5175,2400526.0
2018-07-05,22.82,9756.9846,7132428.0
2018-07-06,23.1,9876.7022,4202174.0
2018-07-09,23.33,9975.0417,3749427.0
2018-07-10,23.88,10210.2012,4737219.0
2018-07-11,23.02,9842.4972,4574915.0
2018-07-12,23.51,10052.003,3607977.0
2018-07-13,23.48,10039.1761,4556709.0
2018-07-16,23.3,9962.2148,4799175.0
2018-07-17,23.91,10223.0281,4393744.0
2018-07-18,24.24,10364.1239,5635059.0
2018-07-19,24.01,10265.7844,5011782.0
2018-07-20,24.04,10278.6113,3689462.0
2018-07-23,23.78,10167.445,5728762.0
2018-07-24,23.53,10060.5542,4133591.0
2018-07-25,23.3,9962.2148,8872944.0
2018-07-26,23.61,10094.7593,8352129.0
2018-07-27,23.15,9898.0803,9665306.0
2018-07-30,22.36,9530.179,10269462.0
2018-07-31,22.05,9398.0522,6282874.0
2018-08-01,22.26,9487.5575,6277072.0
2018-08-02,22.28,9496.0818,6515486.0
2018-08-03,21.59,9201.9931,10798682.0
2018-08-06,22.11,9423.6251,5408654.0
2018-08-07,22.41,9551.4898,3944056.0
2018-08-08,22.42,9555.752,3769697.0
2018-08-09,21.92,9342.6442,6522565.0
2018-08-10,21.34,9095.4392,8249718.0
2018-08-13,21.01,8954.7881,3740192.0
2018-08-14,21.0,8950.5259,5598955.0
2018-08-15,20.45,8716.1074,8406288.0
2018-08-16,20.34,8669.2237,6616858.0
2018-08-17,20.32,8660.6994,3905667.0
2018-08-20,20.34,8669.2237,3470859.0
2018-08-21,21.0,8950.5259,6116769.0
2018-08-22,20.84,8882.3314,5266052.0
2018-08-23,20.65,8801.3505,4129697.0
2018-08-24,21.12,9001.6718,2981053.0
2018-08-27,21.5,9163.6337,4140811.0
2018-08-28,21.61,9210.5174,3216829.0
2018-08-29,21.58,9197.7309,3140223.0
2018-08-30,21.11,8997.4096,3078843.0
2018-08-31,21.34,9095.4392,4432873.0
2018-09-04,21.38,9112.4878,4244271.0
2018-09-05,20.49,8733.156,5824879.0
2018-09-06,19.86,8464.6402,7082092.0
2018-09-07,19.48,8302.6783,7013916.0
2018-09-10,19.32,8234.4838,3966330.0
2018-09-11,19.2,8183.338,4802352.0
2018-09-12,19.25,8204.6488,9514767.0
2018-09-13,19.51,8315.4648,4249939.0
2018-09-14,19.87,8468.9024,5113995.0
2018-09-17,19.06,8123.6678,4667721.0
2018-09-18,19.0,8098.0949,6147093.0
2018-09-19,19.12,8149.2407,8348041.0
2018-09-20,19.5,8311.2026,10327362.0
2018-09-21,19.15,8162.0272,6154916.0
2018-09-24,19.1,8140.7164,3558046.0
2018-09-25,18.42,7850.8899,6567055.0
2018-09-26,18.42,7850.8899,4124790.0
2018-09-27,18.24,7774.1711,5209322.0
2018-09-28,18.43,7855.152,5270960.0
2018-10-01,18.41,7846.6277,4191363.0
2018-10-02,18.75,7991.541,5145064.0
2018-10-03,18.46,7867.9385,6517690.0
2018-10-04,17.87,7616.4713,7463142.0
2018-10-05,17.54,7475.8202,7725403.0
2018-10-08,17.09,7284.0232,7608271.0
2018-10-09,16.85,7181.7315,7780239.0
2018-10-10,16.12,6870.5942,9199620.0
2018-10-11,16.36,6972.8859,10997545.0
2018-10-12,16.65,7096.4884,6001758.0
2018-10-15,16.51,7036.8182,4471866.0
2018-10-16,16.92,7211.5666,4476013.0
2018-10-17,16.77,7147.6343,5572412.0
2018-10-18,16.0,6819.4483,9862026.0
2018-10-19,15.84,6751.2538,5610905.0
2018-10-22,15.89,6772.5646,4351185.0
2018-10-23,16.09,6857.8077,8135402.0
2018-10-24,14.75,6286.6789,10385223.0
2018-10-25,15.34,6538.1461,6155234.0
2018-10-26,14.62,6231.2709,13803353.0
