,VRTX US Equity,VRTX US Equity,VRTX US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-02-09,152.96,38737.5789,2719763.0
2018-02-12,152.01,38496.9885,2242152.0
2018-02-13,154.14,39036.4174,1624480.0
2018-02-14,157.26,39826.5668,1992074.0
2018-02-15,160.94,40861.3759,1244660.0
2018-02-16,160.72,40805.5197,1001947.0
2018-02-20,160.98,40871.5316,1136414.0
2018-02-21,157.89,40087.0054,1160791.0
2018-02-22,157.59,40010.8378,1654835.0
2018-02-23,165.9,42120.6801,1591078.0
2018-02-26,169.54,43044.847,1779326.0
2018-02-27,165.88,42115.6023,1635786.0
2018-02-28,166.03,42153.6861,2055525.0
2018-03-01,165.83,42102.9077,2028742.0
2018-03-02,170.06,43176.8708,2111944.0
2018-03-05,173.16,43963.9359,1882421.0
2018-03-06,168.72,42836.6555,2176828.0
2018-03-07,170.17,43204.7989,1215786.0
2018-03-08,171.88,43638.9542,1060709.0
2018-03-09,176.26,44751.0011,1415305.0
2018-03-12,177.13,44971.8871,1357560.0
2018-03-13,174.96,44420.9415,1989486.0
2018-03-14,174.38,44273.6842,1036592.0
2018-03-15,173.97,44169.5885,952466.0
2018-03-16,175.66,44598.6659,2462076.0
2018-03-19,170.77,43357.1341,1161542.0
2018-03-20,171.47,43534.8585,1674317.0
2018-03-21,170.34,43247.9606,1050015.0
2018-03-22,166.1,42171.4585,1095474.0
2018-03-23,160.93,40858.837,1319393.0
2018-03-26,166.1,42171.4585,1327335.0
2018-03-27,160.34,40709.0407,1289311.0
2018-03-28,159.58,40516.0828,1443658.0
2018-03-29,162.98,41379.3156,1527247.0
2018-04-02,156.31,39685.856,1804506.0
2018-04-03,158.36,40206.3346,1542275.0
2018-04-04,162.12,41160.9684,1832014.0
2018-04-05,157.66,40028.6102,1352812.0
2018-04-06,154.25,39315.0885,1446291.0
2018-04-09,156.76,39954.8349,1235369.0
2018-04-10,161.17,41078.8513,1301729.0
2018-04-11,158.89,40497.7272,1526952.0
2018-04-12,161.98,41285.3033,1079909.0
2018-04-13,161.39,41134.9247,1486113.0
2018-04-16,158.7,40449.3002,1482901.0
2018-04-17,164.99,42052.4892,2399358.0
2018-04-18,163.36,41637.0364,1122146.0
2018-04-19,159.55,40665.9473,1235637.0
2018-04-20,158.15,40309.1167,1534723.0
2018-04-23,158.69,40446.7514,1154618.0
2018-04-24,155.67,39677.0167,1504877.0
2018-04-25,155.15,39544.4796,1313098.0
2018-04-26,158.81,40477.3368,1991083.0
2018-04-27,156.05,39766.2577,1866708.0
2018-04-30,153.16,39029.7983,1717317.0
2018-05-01,152.48,38856.5138,1648558.0
2018-05-02,149.47,38089.4748,2565220.0
2018-05-03,149.64,38132.7959,1518943.0
2018-05-04,149.39,38069.0884,2263777.0
2018-05-07,149.5,38097.1197,1448762.0
2018-05-08,148.27,37783.6785,1146964.0
2018-05-09,149.07,37987.5427,1419622.0
2018-05-10,151.01,38481.9133,1267581.0
2018-05-11,155.97,39745.8713,2242866.0
2018-05-14,157.46,40125.5683,1442379.0
2018-05-15,155.54,39636.2943,1370152.0
2018-05-16,156.16,39794.289,1240701.0
2018-05-17,156.34,39840.1585,1147519.0
2018-05-18,157.24,40069.5057,998525.0
2018-05-21,156.22,39809.5788,1199245.0
2018-05-22,156.28,39824.8687,956366.0
2018-05-23,156.98,40003.2498,791228.0
2018-05-24,156.97,40000.7015,634448.0
2018-05-25,157.5,40135.7615,653584.0
2018-05-29,155.24,39559.8452,1142294.0
2018-05-30,156.64,39916.6075,1164429.0
2018-05-31,154.0,39243.8557,1649430.0
2018-06-01,152.05,38746.9368,2176805.0
2018-06-04,149.65,38135.3442,2660991.0
2018-06-05,145.72,37133.8614,2957840.0
2018-06-06,145.97,37197.569,3087528.0
2018-06-07,145.75,37141.5063,2183214.0
2018-06-08,150.55,38364.6914,1791147.0
2018-06-11,148.63,37875.4174,1460342.0
2018-06-12,150.99,38476.8167,1539661.0
2018-06-13,151.94,38718.9055,1307687.0
2018-06-14,154.99,39496.1377,1384574.0
2018-06-15,155.02,39503.7826,2890161.0
2018-06-18,151.69,38655.1979,1371721.0
2018-06-19,154.5,39371.2708,1551161.0
2018-06-20,157.63,40168.8895,1385374.0
2018-06-21,156.57,39898.7694,835370.0
2018-06-22,159.19,40566.4246,2203490.0
2018-06-25,154.76,39437.5267,1491803.0
2018-06-26,151.5,38606.7801,1813927.0
2018-06-27,147.5,37587.4592,2075364.0
2018-06-28,147.59,37610.3939,1368358.0
2018-06-29,169.96,43310.9462,6716387.0
2018-07-02,169.61,43221.7556,2283604.0
2018-07-03,167.73,42742.6748,1059865.0
2018-07-05,169.49,43191.176,1178627.0
2018-07-06,173.45,44200.3037,1518916.0
2018-07-09,174.16,44381.2332,1334968.0
2018-07-10,175.11,44623.3219,1600268.0
2018-07-11,175.01,44597.8389,1618426.0
2018-07-12,178.27,45428.5855,1181060.0
2018-07-13,180.5,45996.8569,1458674.0
2018-07-16,181.22,46180.3346,1961482.0
2018-07-17,182.59,46529.4521,1133302.0
2018-07-18,181.13,46157.3999,1138482.0
2018-07-19,180.12,45900.0214,1080486.0
2018-07-20,177.4,45206.8832,1666374.0
2018-07-23,176.54,44987.7292,1388700.0
2018-07-24,174.88,44564.711,1704975.0
2018-07-25,176.81,45065.8632,1567334.0
2018-07-26,175.87,44945.3265,2400676.0
2018-07-27,172.1,43981.8655,1392093.0
2018-07-30,174.42,44574.7646,1534172.0
2018-07-31,175.05,44735.7673,1529430.0
2018-08-01,177.87,45456.4463,1384463.0
2018-08-02,177.89,45461.5575,1684292.0
2018-08-03,174.54,44605.4318,1117993.0
2018-08-06,174.91,44699.9889,761485.0
2018-08-07,177.51,45364.4448,1097804.0
2018-08-08,175.3,44799.6573,903526.0
2018-08-09,175.05,44735.7673,837042.0
2018-08-10,174.82,44676.9885,568010.0
2018-08-13,175.05,44735.7673,810394.0
2018-08-14,175.93,44960.6601,566678.0
2018-08-15,173.0,44211.8694,907510.0
2018-08-16,174.96,44712.7669,732505.0
2018-08-17,176.08,44998.9941,981740.0
2018-08-20,175.71,44904.4369,946746.0
2018-08-21,176.86,45198.3308,919581.0
2018-08-22,177.72,45418.1124,616391.0
2018-08-23,176.02,44983.6605,681036.0
2018-08-24,176.84,45193.2196,905185.0
2018-08-27,179.32,45827.0083,825637.0
2018-08-28,180.87,46223.1262,1257611.0
2018-08-29,184.86,47242.8103,1277524.0
2018-08-30,186.03,47541.8155,968908.0
2018-08-31,184.4,47125.2528,1302095.0
2018-09-04,183.31,46846.6924,1371082.0
2018-09-05,183.21,46821.1364,1027888.0
2018-09-06,180.05,46013.567,890712.0
2018-09-07,179.47,45865.3423,1204444.0
2018-09-10,179.28,45816.7859,797528.0
2018-09-11,178.61,45645.5607,1077737.0
2018-09-12,178.34,45576.5595,860811.0
2018-09-13,179.86,45965.0106,830409.0
2018-09-14,179.01,45747.7847,847297.0
