,JPM US Equity,JPM US Equity,JPM US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-08-23,114.73,385594.2336,9265593.0
2018-08-24,114.68,385426.1894,8845718.0
2018-08-27,116.71,392248.7841,13768021.0
2018-08-28,116.14,390333.0802,8302618.0
2018-08-29,115.76,389055.9442,7221744.0
2018-08-30,115.19,387140.2403,8991802.0
2018-08-31,114.58,385090.101,13065719.0
2018-09-04,115.15,387005.8049,10174177.0
2018-09-05,114.59,385123.7098,11462446.0
2018-09-06,114.1,383476.8766,9877635.0
2018-09-07,114.32,384216.2711,10955590.0
2018-09-10,113.71,382166.1318,8276936.0
2018-09-11,114.43,384585.9684,9333781.0
2018-09-12,113.08,380048.7748,10800758.0
2018-09-13,113.52,381527.5638,12470769.0
2018-09-14,113.5,381460.3461,10337948.0
2018-09-17,113.84,382603.0467,9561297.0
2018-09-18,114.3,384149.0534,7944210.0
2018-09-19,117.62,395307.1887,16052776.0
2018-09-20,118.63,398701.6816,15589976.0
2018-09-21,117.85,396080.192,24788247.0
2018-09-24,116.72,392282.393,12492474.0
2018-09-25,116.39,391173.3012,9308310.0
2018-09-26,115.02,386568.89,14023640.0
2018-09-27,114.52,384888.4479,13282987.0
2018-09-28,112.84,379242.1626,15815120.0
2018-10-01,113.5,381460.3461,10147110.0
2018-10-02,113.97,383039.9617,13753074.0
2018-10-03,115.04,386636.1077,17141962.0
2018-10-04,115.27,387409.111,16357406.0
2018-10-05,114.62,385224.5363,13777633.0
2018-10-08,115.32,387577.1552,14370869.0
2018-10-09,114.52,384888.4479,14069477.0
2018-10-10,111.47,374637.7514,23086389.0
2018-10-11,108.13,363412.3985,33705616.0
2018-10-12,106.95,359446.5552,32075740.0
2018-10-15,106.34,357396.4159,18903216.0
2018-10-16,108.62,365059.2317,19302764.0
2018-10-17,109.83,369125.9015,18794482.0
2018-10-18,108.09,363277.9631,17582467.0
2018-10-19,107.91,362673.004,15234549.0
2018-10-22,106.36,357463.6336,16199139.0
2018-10-23,105.25,353733.0523,21407548.0
2018-10-24,103.29,347145.7194,23168916.0
2018-10-25,104.86,352422.3075,17464708.0
2018-10-26,103.42,347582.6343,19174916.0
2018-10-29,104.85,352388.6986,18445175.0
2018-10-30,106.7,358606.3342,18019681.0
2018-10-31,109.02,362536.2772,20859992.0
2018-11-01,108.98,362403.2608,13065023.0
2018-11-02,108.38,360408.0144,19009518.0
2018-11-05,109.09,362769.056,10276448.0
2018-11-06,109.6,364465.0155,10824959.0
2018-11-07,111.48,370716.7876,12679585.0
2018-11-08,112.38,373709.6573,11662499.0
2018-11-09,111.29,370084.9596,10432161.0
2018-11-12,108.95,362303.4985,13279671.0
2018-11-13,109.59,364431.7614,13746059.0
2018-11-14,107.33,356916.3331,18361433.0
2018-11-15,110.07,366027.9585,19099954.0
2018-11-16,109.99,365761.9256,13798551.0
2018-11-19,110.83,368555.2707,13986991.0
2018-11-20,108.45,360640.7931,18936153.0
2018-11-21,107.64,357947.2104,10619625.0
2018-11-23,106.65,354655.0538,6488406.0
2018-11-26,109.26,363334.3758,13948285.0
2018-11-27,109.72,364864.0647,9238176.0
2018-11-28,110.94,368921.0658,13977257.0
2018-11-29,110.06,365994.7044,11144347.0
2018-11-30,111.19,369752.4185,18652718.0
2018-12-03,112.24,373244.0998,16033180.0
2018-12-04,107.23,356583.792,23555940.0
