,SMCI US Equity,SMCI US Equity,SMCI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2019-08-13,17.0,847.9925,42419.0
2019-08-14,16.8,838.0162,78602.0
2019-08-15,16.34,815.0705,366025.0
2019-08-16,19.3,962.7209,336609.0
2019-08-19,19.6,977.6855,69143.0
2019-08-20,19.93,994.1465,44739.0
2019-08-21,19.95,995.1442,37802.0
2019-08-22,20.0,997.6383,77141.0
2019-08-23,19.35,965.215,102461.0
2019-08-26,19.32,963.7186,47962.0
2019-08-27,19.05,950.2505,13605.0
2019-08-28,19.4,967.7091,10419.0
2019-08-29,19.58,976.6879,22445.0
2019-08-30,18.9,942.7682,81790.0
2019-09-03,18.42,918.8249,82180.0
2019-09-04,18.55,925.3095,36829.0
2019-09-05,18.85,940.2741,111075.0
2019-09-06,19.24,959.728,46771.0
2019-09-09,19.4,967.7091,78202.0
2019-09-10,19.29,962.2221,64892.0
2019-09-11,19.1,952.7446,278532.0
2019-09-12,19.02,948.754,67670.0
2019-09-13,19.1,952.7446,93552.0
2019-09-16,19.3,962.7209,32796.0
2019-09-17,19.53,974.1938,56849.0
2019-09-18,19.68,981.6761,93011.0
2019-09-19,19.55,975.1914,20981.0
2019-09-20,19.75,985.1678,60339.0
2019-09-23,19.61,978.1843,157148.0
2019-09-24,19.58,976.6879,265199.0
2019-09-25,19.28,961.7233,20311.0
2019-09-26,18.84,939.7753,73274.0
2019-09-27,19.1,952.7446,41021.0
2019-09-30,19.2,957.7327,16081.0
2019-10-01,19.4,967.7091,194522.0
2019-10-02,19.25,960.2268,16531.0
2019-10-03,19.2,957.7327,49154.0
2019-10-04,19.35,965.215,29844.0
2019-10-07,19.4,967.7091,293331.0
2019-10-08,19.01,948.2552,133339.0
2019-10-09,19.0,947.7564,80868.0
2019-10-10,19.0,947.7564,19786.0
2019-10-11,18.7604,935.8047,29880.0
2019-10-14,18.75,935.2859,51577.0
2019-10-15,18.82,938.7776,126567.0
2019-10-16,19.43,969.2056,160515.0
2019-10-17,19.55,975.1914,106013.0
2019-10-18,19.2,957.7327,58789.0
2019-10-21,19.71,983.1725,165235.0
2019-10-22,19.94,994.6454,71343.0
2019-10-23,19.975,996.3912,22655.0
2019-10-24,20.6,1027.5674,41201.0
2019-10-25,20.87,1041.0355,69974.0
2019-10-28,21.2,1057.4966,252702.0
2019-10-29,21.01,1048.019,103294.0
2019-10-30,20.37,1016.0946,125397.0
2019-10-31,20.68,1031.558,60812.0
2019-11-01,20.5,1022.5792,168600.0
2019-11-04,20.53,1024.0757,46525.0
2019-11-05,20.8,1037.5438,52149.0
