,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2022-10-25,88.15,87.5,88.56,86.75,1647151.0,28795.426
2022-10-26,88.78,89.68,89.68,87.33,1370642.0,29001.2243
2022-10-27,93.04,89.805,93.14,89.805,3345777.0,30392.8127
2022-10-28,93.75,92.89,95.2524,91.82,1958031.0,30624.7441
2022-10-31,94.54,94.14,95.42,93.375,2276566.0,30882.8086
2022-11-01,95.52,95.24,96.24,94.005,1467642.0,31202.9393
2022-11-02,93.09,94.68,96.29,92.98,1966171.0,30409.1459
2022-11-03,94.41,92.16,95.45,92.16,1484563.0,30840.3423
2022-11-04,94.32,95.09,96.21,92.745,1974363.0,30810.9425
2022-11-07,93.5,95.06,95.06,92.96,2120385.0,30543.0781
2022-11-08,87.54,89.56,93.105,86.08,4345520.0,28596.161
2022-11-09,87.35,87.0,89.92,86.33,2241529.0,28534.0949
2022-11-10,95.14,90.5,95.84,88.2,4885662.0,31078.807
2022-11-11,92.31,95.29,95.87,91.605,3133227.0,30154.348
2022-11-14,93.92,92.0,94.72,92.0,1997043.0,30680.277
2022-11-15,93.5,94.51,94.75,92.65,2537244.0,30543.0781
2022-11-16,91.68,94.31,94.52,91.28,1384564.0,29948.5497
2022-11-17,90.05,90.43,91.46,88.87,1792525.0,29416.0875
2022-11-18,93.3,90.12,93.44,90.0263,2515674.0,30477.7453
2022-11-21,93.39,94.07,94.22,92.76,1744771.0,30507.1451
2022-11-22,96.27,94.56,96.36,94.09,1567699.0,31447.9372
2022-11-23,96.62,96.03,97.89,94.415,1135868.0,31562.2696
2022-11-25,97.16,96.6,97.45,96.0,631686.0,31738.6681
2022-11-28,94.81,96.07,96.59,94.38,1590100.0,30971.0079
2022-11-29,94.43,94.69,95.11,93.32,1436207.0,30846.8756
2022-11-30,96.12,94.14,96.94,93.76,3361825.0,31398.9376
2022-12-01,94.47,97.0,97.78,93.88,1748575.0,30859.9421
2022-12-02,92.04,92.99,93.49,91.04,1848756.0,30066.1488
2022-12-05,90.06,91.01,91.61,89.8,2397070.0,29419.3542
2022-12-06,90.78,89.86,90.88,89.8,1237536.0,29654.5522
2022-12-07,91.97,90.88,93.2,90.59,1237198.0,30043.2823
2022-12-08,91.41,92.33,92.985,90.93,1002449.0,29860.3505
2022-12-09,89.72,91.36,91.86,89.69,1384640.0,29308.2884
2022-12-12,90.88,89.98,90.92,89.07,1554061.0,29687.2186
2022-12-13,90.84,91.98,92.71,90.39,1629858.0,29674.152
2022-12-14,90.85,91.54,92.29,89.88,2561578.0,29677.4187
2022-12-15,89.7,90.81,90.85,89.43,2245092.0,29301.7551
2022-12-16,88.2,88.15,88.6,85.93,3911692.0,28811.7592
2022-12-19,87.73,88.38,88.67,87.0,1238141.0,28658.2272
