,MAS US Equity,MAS US Equity,MAS US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2018-03-16,41.57,13027.6847,3172655.0
2018-03-19,41.09,12877.2567,2241922.0
2018-03-20,41.02,12855.3193,2307866.0
2018-03-21,41.55,13021.4168,2155828.0
2018-03-22,41.03,12858.4532,3281424.0
2018-03-23,40.25,12614.0079,3666990.0
2018-03-26,40.81,12789.5071,2901395.0
2018-03-27,40.47,12682.954,3907106.0
2018-03-28,39.83,12482.3834,3987730.0
2018-03-29,40.44,12673.5523,3895504.0
2018-04-02,39.0,12141.6609,3379045.0
2018-04-03,39.62,12334.6822,3807230.0
2018-04-04,40.71,12674.026,5919236.0
2018-04-05,40.93,12742.5174,4421708.0
2018-04-06,40.19,12512.1372,3668513.0
2018-04-09,40.22,12521.4769,3377559.0
2018-04-10,40.8,12702.0452,2846244.0
2018-04-11,40.6,12639.7803,2441244.0
2018-04-12,40.82,12708.2717,1803704.0
2018-04-13,40.65,12655.3465,2003637.0
2018-04-16,40.92,12739.4042,3041247.0
2018-04-17,41.4,12888.84,3529196.0
2018-04-18,41.31,12860.8208,3122719.0
2018-04-19,39.75,12375.1544,7203122.0
2018-04-20,39.24,12216.3788,5930085.0
2018-04-23,39.45,12281.757,6332108.0
2018-04-24,36.16,11227.3482,13108003.0
2018-04-25,37.17,11540.9439,11120049.0
2018-04-26,37.33,11590.6225,8820335.0
2018-04-27,38.02,11804.8611,6251089.0
2018-04-30,37.87,11758.2875,6943097.0
2018-05-01,38.5,11953.8967,6606269.0
2018-05-02,37.73,11714.8188,5336576.0
2018-05-03,38.01,11801.7562,3620089.0
2018-05-04,38.32,11898.0084,3502875.0
2018-05-07,38.3,11891.7986,3131806.0
2018-05-08,38.18,11854.5397,3561681.0
2018-05-09,37.63,11683.7697,3918329.0
2018-05-10,37.86,11755.1826,2969875.0
2018-05-11,38.07,11820.3857,3241732.0
2018-05-14,37.64,11686.8746,3959947.0
2018-05-15,37.35,11596.8323,5931461.0
2018-05-16,37.91,11770.7071,4998634.0
2018-05-17,37.5,11643.4059,3882393.0
2018-05-18,37.85,11752.0777,3035060.0
2018-05-21,37.73,11714.8188,2878355.0
2018-05-22,37.0,11488.1605,3479129.0
2018-05-23,37.54,11655.8255,3225713.0
2018-05-24,37.52,11649.6157,1923269.0
2018-05-25,37.9,11767.6022,3289806.0
2018-05-29,37.55,11658.9304,3524658.0
2018-05-30,38.16,11848.3298,3590235.0
2018-05-31,37.27,11571.993,3207415.0
2018-06-01,37.63,11683.7697,2603067.0
2018-06-04,38.39,11919.7427,3999142.0
2018-06-05,38.63,11994.2605,3235516.0
2018-06-06,38.38,11916.6378,2685728.0
2018-06-07,38.51,11957.0016,3164890.0
2018-06-08,38.86,12065.6734,3879653.0
2018-06-11,38.71,12019.0998,2731795.0
2018-06-12,38.87,12068.7783,2733324.0
2018-06-13,37.97,11789.3366,3129410.0
2018-06-14,38.42,11929.0575,2284725.0
2018-06-15,38.24,11873.1691,3785987.0
2018-06-18,37.78,11730.3433,2591461.0
2018-06-19,37.76,11724.1335,3905955.0
2018-06-20,38.44,11935.2673,3624658.0
2018-06-21,37.75,11721.0286,3238371.0
2018-06-22,38.04,11811.0709,3870665.0
2018-06-25,37.84,11748.9728,3203410.0
2018-06-26,38.08,11823.4906,3573317.0
2018-06-27,37.39,11609.2519,3381323.0
2018-06-28,37.14,11531.6292,2466199.0
2018-06-29,37.42,11618.5666,2992057.0
2018-07-02,37.29,11578.2028,2675064.0
2018-07-03,37.2,11550.2587,1008448.0
2018-07-05,38.02,11804.8611,2536777.0
2018-07-06,38.42,11929.0575,2460938.0
2018-07-09,38.73,12025.3096,2388834.0
2018-07-10,38.58,11978.736,1894339.0
2018-07-11,37.71,11708.609,3447826.0
2018-07-12,37.7,11705.5041,3581883.0
2018-07-13,38.01,11801.7562,2464900.0
2018-07-16,37.69,11702.3992,2310670.0
2018-07-17,38.3,11891.7986,3018037.0
2018-07-18,38.46,11941.4771,2836328.0
2018-07-19,38.98,12102.9323,2458049.0
2018-07-20,38.99,12106.0372,2726351.0
2018-07-23,38.59,11981.8409,2765191.0
2018-07-24,38.51,11957.0016,3343535.0
2018-07-25,37.88,11761.3924,5008101.0
2018-07-26,38.66,12003.5753,4336510.0
2018-07-27,39.39,12230.2336,3517475.0
2018-07-30,39.47,12255.0728,5509713.0
2018-07-31,40.33,12400.5352,6104432.0
2018-08-01,39.97,12289.8436,3965201.0
2018-08-02,39.39,12111.5071,4600445.0
2018-08-03,39.5,12145.3295,2632831.0
2018-08-06,39.8,12237.5725,1883844.0
2018-08-07,39.71,12209.8996,1852620.0
2018-08-08,39.22,12059.2361,1487081.0
2018-08-09,39.12,12028.4884,2323055.0
2018-08-10,38.6,11868.6005,2152882.0
2018-08-13,37.72,11598.021,3047684.0
2018-08-14,38.25,11760.9837,2338281.0
2018-08-15,38.34,11788.6566,2042097.0
2018-08-16,38.54,11850.1519,2556566.0
2018-08-17,38.75,11914.722,2162029.0
2018-08-20,38.66,11887.0491,2144250.0
2018-08-21,39.25,12068.4604,2308053.0
2018-08-22,38.89,11957.7687,2407481.0
2018-08-23,38.75,11914.722,2745341.0
2018-08-24,38.92,11966.993,2650959.0
2018-08-27,39.1,12022.3389,1869734.0
2018-08-28,38.89,11957.7687,1324506.0
2018-08-29,38.75,11914.722,1591219.0
2018-08-30,38.17,11736.3855,1813383.0
2018-08-31,37.97,11674.8902,2026787.0
2018-09-04,37.76,11610.3201,4096346.0
