,VLO US Equity,VLO US Equity,VLO US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2022-01-26,81.3,33238.3355,4132216.0
2022-01-27,81.98,33516.3437,5823139.0
2022-01-28,81.41,33283.3074,4647850.0
2022-01-31,82.97,33921.091,4649374.0
2022-02-01,86.55,35384.7225,6046778.0
2022-02-02,86.61,35409.2526,4797194.0
2022-02-03,85.09,34787.8225,3121908.0
2022-02-04,86.7,35446.0478,3717493.0
2022-02-07,89.63,36643.9362,5173835.0
2022-02-08,88.49,36177.8636,3128643.0
2022-02-09,88.84,36320.956,2464579.0
2022-02-10,89.89,36750.2334,5166474.0
2022-02-11,92.0,37612.8766,6433645.0
2022-02-14,89.72,36680.7314,4349108.0
2022-02-15,88.53,36194.217,3627859.0
2022-02-16,88.04,35993.8875,4920065.0
2022-02-17,87.04,35585.0519,3024436.0
2022-02-18,86.72,35454.2245,2655706.0
2022-02-22,85.84,35134.6236,3638807.0
2022-02-23,86.35,35343.3685,3544179.0
2022-02-24,83.84,34316.0163,5802176.0
2022-02-25,84.87,34737.5991,3275398.0
2022-02-28,83.51,34180.9461,6226911.0
2022-03-01,80.63,33002.1517,5799248.0
2022-03-02,83.62,34225.9695,4917697.0
2022-03-03,84.19,34459.2726,3359026.0
2022-03-04,85.98,35191.9261,5881917.0
2022-03-07,84.01,34385.598,5611660.0
2022-03-08,90.54,37058.3507,10814282.0
2022-03-09,87.14,35666.7183,7787144.0
2022-03-10,89.58,36665.4192,4537405.0
2022-03-11,91.67,37520.8638,6776752.0
2022-03-14,90.55,37062.4437,4746960.0
2022-03-15,84.41,34549.3194,6187563.0
2022-03-16,84.94,34766.2503,3399906.0
2022-03-17,89.09,36464.8604,4175658.0
2022-03-18,90.43,37023.5542,7593157.0
2022-03-21,94.26,38591.6202,4735685.0
2022-03-22,93.59,38317.311,3529676.0
2022-03-23,95.52,39107.4853,3968302.0
2022-03-24,96.44,39484.1487,3398805.0
2022-03-25,97.25,39815.7762,3213612.0
2022-03-28,96.37,39455.4895,3087485.0
2022-03-29,96.68,39582.4087,2898543.0
2022-03-30,100.5,41146.3806,4192629.0
2022-03-31,101.54,41572.174,5261458.0
2022-04-01,101.27,41461.6314,3301770.0
2022-04-04,100.74,41244.6406,2668209.0
2022-04-05,101.46,41539.4206,3818663.0
2022-04-06,103.3,42292.7474,3994341.0
2022-04-07,103.33,42305.0299,3700012.0
2022-04-08,103.22,42259.994,3291393.0
2022-04-11,100.9,41310.1472,3706109.0
2022-04-12,100.79,41265.1114,4189877.0
2022-04-13,103.94,42554.7741,3899946.0
2022-04-14,104.86,42931.4375,3794052.0
2022-04-18,110.35,45179.1353,4813254.0
2022-04-19,107.74,44110.5576,5141828.0
2022-04-20,108.07,44245.6651,3289945.0
2022-04-21,104.91,42951.9083,3977474.0
2022-04-22,103.05,42190.3932,3767670.0
2022-04-25,100.88,41301.9589,6651216.0
2022-04-26,105.14,43046.0742,6731757.0
2022-04-27,109.51,44835.2252,5539728.0
2022-04-28,115.53,47147.3789,6427737.0
2022-04-29,111.48,45494.5885,5963426.0
2022-05-02,116.6,47584.0421,6708010.0
2022-05-03,121.4,49542.9049,5823689.0
2022-05-04,128.23,52330.2034,8342132.0
2022-05-05,125.83,51350.772,5800958.0
2022-05-06,129.18,52717.895,4400077.0
2022-05-09,118.45,48339.0205,8179467.0
2022-05-10,120.97,49367.4234,7048782.0
2022-05-11,120.42,49142.9704,5003816.0
2022-05-12,120.41,49138.8895,3800118.0
2022-05-13,124.7,50889.6231,3800670.0
2022-05-16,127.78,52146.56,4599131.0
2022-05-17,128.06,52260.827,5185010.0
2022-05-18,124.68,50881.4611,5436895.0
2022-05-19,124.26,50710.0607,5401672.0
2022-05-20,122.98,50187.6972,5095658.0
2022-05-23,123.96,50587.6317,5266164.0
2022-05-24,124.21,50689.6558,3677628.0
2022-05-25,127.34,51966.9976,5677219.0
2022-05-26,128.12,52285.3128,4887390.0
2022-05-27,131.81,53791.1886,4518938.0
2022-05-31,129.6,52889.2955,6325340.0
2022-06-01,132.55,54093.1799,3974008.0
2022-06-02,133.62,54529.8431,4476110.0
2022-06-03,135.42,55264.4167,4860393.0
2022-06-06,138.69,56598.8919,4451162.0
2022-06-07,145.08,59206.628,5637709.0
2022-06-08,143.77,58672.0217,5828241.0
2022-06-09,143.41,58525.107,4332439.0
2022-06-10,140.51,57341.6274,4771161.0
2022-06-13,131.61,53709.5693,6435937.0
