,NI US Equity,NI US Equity,NI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2015-01-12,16.6261,13357.2598,1933217.0
2015-01-13,16.6222,13354.1028,2133816.0
2015-01-14,16.968,13631.9186,2423751.0
2015-01-15,17.1212,13755.0416,2095078.0
2015-01-16,17.2941,13893.9495,1367859.0
2015-01-20,17.3688,13953.9324,1529392.0
2015-01-21,17.522,14077.0554,1893016.0
2015-01-22,17.4081,13985.5024,1430448.0
2015-01-23,17.3766,13960.2464,1690175.0
2015-01-26,17.2391,13849.7515,1514132.0
2015-01-27,17.2705,13875.0075,1814909.0
2015-01-28,16.9326,13603.5056,1612697.0
2015-01-29,17.1644,13789.7685,1671956.0
2015-01-30,16.9994,13657.1746,1881868.0
2015-02-02,17.2548,13862.3795,2313541.0
2015-02-03,17.6753,14200.1783,2801326.0
2015-02-04,17.5063,14064.4274,2548789.0
2015-02-05,17.6832,14206.4923,2175584.0
2015-02-06,16.9523,13619.2906,3349285.0
2015-02-09,16.9287,13600.3486,2188414.0
2015-02-10,17.6321,14165.4513,4015061.0
2015-02-11,16.9955,13654.0176,3268763.0
2015-02-12,17.0426,13691.9016,2750639.0
2015-02-13,16.7086,13423.5567,2924431.0
2015-02-17,16.7243,13436.1847,3121140.0
2015-02-18,17.2548,13884.8651,4055419.0
2015-02-19,17.0819,13745.7319,2495591.0
2015-02-20,17.1409,13793.1637,1516406.0
2015-02-23,17.1723,13818.4606,1222722.0
2015-02-24,17.2273,13862.7303,980748.0
2015-02-25,16.9247,13619.2471,1657315.0
2015-02-26,16.7165,13451.6548,2482565.0
2015-02-27,16.8619,13568.6532,2020550.0
2015-03-02,16.6379,13388.4124,2381162.0
2015-03-03,16.7047,13442.1685,1136543.0
2015-03-04,16.6811,13423.1958,1165973.0
2015-03-05,16.8579,13565.4911,1409762.0
2015-03-06,16.3432,13151.2535,2173004.0
2015-03-09,16.3628,13167.0641,1117597.0
2015-03-10,16.3353,13144.9293,1682145.0
2015-03-11,16.0956,12952.04,1727718.0
2015-03-12,16.5279,13299.8731,1515258.0
2015-03-13,16.1978,13034.2551,1381530.0
2015-03-16,16.4414,13230.3065,1472106.0
2015-03-17,16.4728,13255.6034,1796483.0
2015-03-18,17.1998,13840.5955,2156537.0
2015-03-19,16.9758,13660.3547,1660860.0
2015-03-20,17.2823,13907.0,2690622.0
2015-03-23,17.1802,13824.7849,2316533.0
2015-03-24,16.9326,13625.5714,1516057.0
2015-03-25,16.9326,13625.5714,2804583.0
2015-03-26,16.8186,13533.8699,2023000.0
