,AMD US Equity,AMD US Equity,AMD US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2017-11-24,11.38,10979.4081,11035758.0
2017-11-27,11.55,11143.4239,41798250.0
2017-11-28,11.17,10776.8004,65325749.0
2017-11-29,10.83,10448.7689,63333806.0
2017-11-30,10.89,10506.6568,43205030.0
2017-12-01,10.73,10352.289,42128778.0
2017-12-04,10.03,9676.93,97328281.0
2017-12-05,9.91,9561.1542,67304144.0
2017-12-06,10.0,9647.986,38952174.0
2017-12-07,10.04,9686.578,32665616.0
2017-12-08,9.94,9590.0981,34896958.0
2017-12-11,10.16,9802.3538,29956421.0
2017-12-12,9.9,9551.5062,36211043.0
2017-12-13,10.11,9754.1139,41494800.0
2017-12-14,10.13,9773.4098,29006846.0
2017-12-15,10.29,9927.7776,45462280.0
2017-12-18,10.98,10593.4887,63797732.0
2017-12-19,10.95,10564.5447,43852949.0
2017-12-20,10.98,10593.4887,31420328.0
2017-12-21,10.89,10506.6568,21884331.0
2017-12-22,10.54,10168.9773,50744495.0
2017-12-26,10.46,10091.7934,20437891.0
2017-12-27,10.53,10159.3293,22921775.0
2017-12-28,10.55,10178.6253,18609365.0
2017-12-29,10.28,9918.1296,26678928.0
2018-01-02,10.98,10593.4887,44146332.0
2018-01-03,11.55,11143.4239,154066661.0
2018-01-04,12.12,11693.3591,109502970.0
2018-01-05,11.88,11461.8074,63808946.0
2018-01-08,12.28,11847.7268,63346034.0
2018-01-09,11.82,11403.9195,62560940.0
2018-01-10,11.96,11538.9913,52561170.0
2018-01-11,12.14,11712.655,38354916.0
2018-01-12,12.02,11596.8792,47149344.0
2018-01-16,11.91,11490.7514,42686623.0
2018-01-17,12.18,11751.247,39020825.0
2018-01-18,12.47,12031.0386,62086151.0
2018-01-19,12.59,12146.8144,46800669.0
2018-01-22,12.65,12204.7023,34758615.0
2018-01-23,12.94,12484.4939,46417226.0
2018-01-24,12.71,12262.5902,41956439.0
2018-01-25,12.41,11973.1507,42966567.0
2018-01-26,12.95,12494.1419,44238971.0
2018-01-29,13.32,12851.1174,66645418.0
2018-01-30,12.87,12416.958,91236383.0
2018-01-31,13.74,13256.3328,140977843.0
2018-02-01,13.25,12783.5815,67543333.0
2018-02-02,12.45,12011.7426,79432558.0
2018-02-05,11.57,11162.7198,116568862.0
2018-02-06,11.65,11239.9037,87123202.0
2018-02-07,11.6,11191.6638,55758364.0
2018-02-08,11.22,10825.0403,56471761.0
2018-02-09,11.31,10911.8722,85458235.0
2018-02-12,11.68,11268.8477,63160875.0
2018-02-13,11.78,11365.3275,33661383.0
2018-02-14,12.2,11770.543,51756817.0
2018-02-15,12.19,11760.895,59593761.0
2018-02-16,11.82,11403.9195,47332348.0
2018-02-20,12.02,11596.8792,47096492.0
2018-02-21,11.72,11307.4396,40195847.0
2018-02-22,11.84,11423.2155,37886263.0
2018-02-23,12.07,11645.1191,33317579.0
2018-02-26,12.42,11982.7986,42265208.0
2018-02-27,12.53,12142.9507,55975268.0
2018-02-28,12.11,11735.9244,43387460.0
2018-03-01,11.9,11532.4113,63207377.0
2018-03-02,11.81,11445.1914,58123518.0
2018-03-05,11.91,11542.1024,43734836.0
2018-03-06,11.76,11396.9892,46751179.0
2018-03-07,12.24,11862.1725,127603194.0
2018-03-08,11.97,11600.5069,76011217.0
2018-03-09,11.7,11338.8413,89674365.0
2018-03-12,11.52,11164.3976,83748671.0
2018-03-13,11.64,11280.6934,174302560.0
2018-03-14,11.36,11009.3365,80540846.0
2018-03-15,11.46,11106.2497,66373911.0
2018-03-16,11.47,11115.941,37590983.0
2018-03-19,11.43,11077.1758,53308617.0
2018-03-20,11.11,10767.0536,65116930.0
2018-03-21,11.26,10912.4234,44691711.0
2018-03-22,10.91,10573.2273,59944232.0
2018-03-23,10.63,10301.8704,54844461.0
2018-03-26,10.44,10117.7353,75878505.0
2018-03-27,10.0,9691.3174,68551265.0
2018-03-28,9.81,9507.1823,64832148.0
2018-03-29,10.05,9739.774,48681415.0
2018-04-02,9.53,9235.8255,64824596.0
2018-04-03,9.55,9255.2081,54891576.0
2018-04-04,9.77,9468.4171,67356888.0
2018-04-05,10.02,9710.7,65758791.0
2018-04-06,9.61,9313.356,51087146.0
2018-04-09,9.53,9235.8255,38382608.0
2018-04-10,9.98,9671.9347,43036502.0
2018-04-11,9.82,9516.8737,29169324.0
2018-04-12,10.08,9768.8479,47784419.0
2018-04-13,9.93,9623.4782,38935658.0
2018-04-16,10.09,9778.5392,28875069.0
2018-04-17,10.52,10195.2659,45360314.0
2018-04-18,10.36,10040.2048,42449590.0
