,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2020-01-31,74.8,18927.665,5196562.0
2020-02-03,74.91,18955.4998,3951366.0
2020-02-04,78.89,19962.6135,6423869.0
2020-02-05,81.85,20711.6228,6993789.0
2020-02-06,80.5,20370.0138,5218811.0
2020-02-07,79.48,20111.9093,3129720.0
2020-02-10,79.47,20109.3789,3492868.0
2020-02-11,80.53,20377.6051,2763727.0
2020-02-12,82.2,20800.188,2907099.0
2020-02-13,80.99,20494.0052,2998888.0
2020-02-14,79.55,20129.6224,3119656.0
2020-02-18,80.24,20304.2225,4183723.0
2020-02-19,79.42,20096.7267,3350290.0
2020-02-20,79.91,20220.7181,2893884.0
2020-02-21,78.01,19739.9351,4545057.0
2020-02-24,75.47,19097.2043,6332868.0
2020-02-25,70.57,17857.2904,8076210.0
2020-02-26,66.53,16834.994,9372177.0
2020-02-27,64.94,16101.9455,10257090.0
2020-02-28,61.59,15271.3092,9957999.0
2020-03-02,61.26,15189.4854,13015179.0
2020-03-03,58.29,14453.0706,9208799.0
2020-03-04,59.47,14745.6529,10671198.0
2020-03-05,51.59,12791.7981,13974729.0
2020-03-06,52.1,12918.2531,16492236.0
2020-03-09,46.78,11599.1532,12307563.0
2020-03-10,52.56,13032.3107,15642906.0
2020-03-11,49.34,12233.9081,10917056.0
2020-03-12,37.08,9194.0274,19423635.0
2020-03-13,41.64,10324.6845,24135263.0
2020-03-16,35.47,8794.8261,28259544.0
2020-03-17,30.67,7604.6607,21078874.0
2020-03-18,21.38,5301.1949,35372666.0
2020-03-19,21.28,5276.3997,31611169.0
2020-03-20,24.5,6074.8023,37407966.0
2020-03-23,26.25,6508.7168,25585768.0
2020-03-24,33.0,8182.3868,31502493.0
2020-03-25,36.6,9075.0108,32988796.0
2020-03-26,35.55,8814.6622,29647797.0
2020-03-27,32.84,8142.7146,18379566.0
2020-03-30,30.16,7478.2057,18386439.0
2020-03-31,31.55,7822.8577,16568762.0
2020-04-01,25.65,6359.9461,27541553.0
2020-04-02,23.42,5807.0151,25212818.0
2020-04-03,22.885,5674.3613,28350252.0
2020-04-06,24.02,5955.7858,32386709.0
2020-04-07,24.48,6069.8433,43809293.0
2020-04-08,27.51,6821.1352,32657738.0
2020-04-09,31.5,7788.5909,54118482.0
2020-04-13,28.91,7148.1957,36493665.0
2020-04-14,30.9,7640.2368,28650556.0
2020-04-15,31.86,7877.6034,46775180.0
2020-04-16,28.21,6975.1159,44795626.0
2020-04-17,29.08,7190.2293,26829601.0
2020-04-20,27.79,6871.268,37042169.0
2020-04-21,27.88,6893.5211,28293236.0
2020-04-22,25.88,7517.2699,90730574.0
2020-04-23,25.72,7470.7953,35812489.0
2020-04-24,25.56,7424.3207,34850727.0
2020-04-27,25.0,7261.6595,35980034.0
2020-04-28,27.84,8086.584,59812102.0
2020-04-29,31.21,9065.4558,52643463.0
2020-04-30,29.58,8591.9955,44896845.0
2020-05-01,26.62,7732.2151,47710309.0
2020-05-04,25.26,7337.1808,63152395.0
