,WY US Equity,WY US Equity,WY US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2021-09-22,36.41,27299.6354,4624216.0
2021-09-23,37.26,27936.9518,5446595.0
2021-09-24,37.19,27884.467,4212819.0
2021-09-27,37.1,27816.9864,3261390.0
2021-09-28,36.55,27404.6052,3271141.0
2021-09-29,36.58,27427.0987,2968700.0
2021-09-30,35.57,26669.8169,3863905.0
2021-10-01,35.77,26819.7737,3986495.0
2021-10-04,35.72,26782.2845,3566337.0
2021-10-05,35.73,26789.7823,4073388.0
2021-10-06,35.82,26857.2629,3880756.0
2021-10-07,35.98,26977.2283,3428694.0
2021-10-08,36.26,27187.1678,2795573.0
2021-10-11,37.26,27936.9518,3777848.0
2021-10-12,37.43,28064.4151,4909315.0
2021-10-13,37.4,28041.9216,3835201.0
2021-10-14,37.55,28154.3892,3713081.0
2021-10-15,37.24,27921.9562,3111524.0
2021-10-18,36.97,27719.5145,2642717.0
2021-10-19,36.77,27569.5577,3827894.0
2021-10-20,37.31,27974.441,3398833.0
2021-10-21,36.79,27584.5534,3189381.0
2021-10-22,37.14,27846.9778,4425610.0
2021-10-25,37.73,28289.3503,4265051.0
2021-10-26,36.76,27562.0598,3706463.0
2021-10-27,35.71,26774.7866,3417106.0
2021-10-28,36.4,27292.1376,3725146.0
2021-10-29,35.72,26755.8874,5545923.0
2021-11-01,36.98,27699.6841,4824596.0
2021-11-02,36.15,27077.9768,4195210.0
2021-11-03,38.27,28665.9522,7540978.0
2021-11-04,38.14,28568.5763,3442481.0
2021-11-05,38.33,28710.8948,2885061.0
2021-11-08,37.73,28261.4679,2679348.0
2021-11-09,37.55,28126.6397,1932429.0
2021-11-10,36.89,27632.2701,2701215.0
2021-11-11,36.81,27572.3465,2799369.0
2021-11-12,36.93,27662.2318,1921688.0
2021-11-15,37.41,28021.7734,4492606.0
2021-11-16,38.36,28733.3662,5596056.0
2021-11-17,38.52,28853.2134,4610124.0
2021-11-18,37.94,28418.7673,2917411.0
2021-11-19,38.04,28493.6718,3152501.0
2021-11-22,38.85,29100.3983,3663732.0
2021-11-23,38.54,28868.1943,2310786.0
2021-11-24,38.98,29197.7741,2177244.0
2021-11-26,38.42,28778.3089,2211160.0
2021-11-29,38.75,29025.4938,3106987.0
2021-11-30,37.61,28171.5825,7484129.0
2021-12-01,37.64,28194.0538,3408470.0
2021-12-02,38.51,28845.7229,3606919.0
2021-12-03,38.33,28710.8948,2739988.0
2021-12-06,38.46,28808.2707,3338211.0
2021-12-07,39.35,29474.9208,3166347.0
2021-12-08,39.48,29572.2966,2448309.0
2021-12-09,39.75,29774.5388,3034846.0
2021-12-10,40.02,29976.7809,3357311.0
2021-12-13,40.05,29999.2523,2895882.0
2021-12-14,38.89,29130.3601,5294901.0
2021-12-15,39.47,29564.8061,4276170.0
2021-12-16,39.63,29684.6534,3006190.0
2021-12-17,39.64,29692.1438,8959864.0
2021-12-20,38.13,28561.0859,5040783.0
2021-12-21,38.46,28808.2707,4244911.0
2021-12-22,38.83,29085.4173,2244704.0
2021-12-23,38.64,28943.0988,2298063.0
2021-12-27,39.66,29707.1247,2282640.0
2021-12-28,39.86,29856.9337,1783311.0
2021-12-29,40.68,30471.1506,2193815.0
2021-12-30,40.97,30688.3737,2131800.0
2021-12-31,41.18,30845.6731,1882695.0
2022-01-03,40.57,30388.7557,3831124.0
2022-01-04,41.09,30778.2591,3089766.0
2022-01-05,40.07,30014.2332,3737606.0
2022-01-06,40.39,30253.9276,3315205.0
2022-01-07,40.34,30216.4753,3309914.0
2022-01-10,40.15,30074.1568,3137381.0
2022-01-11,40.73,30508.6028,3959982.0
2022-01-12,41.05,30748.2972,3371585.0
2022-01-13,41.66,31205.2147,3151955.0
2022-01-14,40.98,30695.8641,2977635.0
2022-01-18,39.28,29422.4876,4261828.0
2022-01-19,39.18,29347.5831,3046146.0
2022-01-20,38.29,28680.933,3041293.0
2022-01-21,38.01,28471.2004,3763057.0
2022-01-24,38.85,29100.3983,5037275.0
2022-01-25,38.47,28815.7612,4768932.0
2022-01-26,38.08,28523.6336,3729242.0
2022-01-27,37.89,28381.3151,5786762.0
2022-01-28,39.65,29630.4847,4792775.0
2022-01-31,40.43,30213.3794,4484495.0
2022-02-01,40.63,30362.8396,4026123.0
2022-02-02,41.47,30990.5725,4618571.0
2022-02-03,41.32,30878.4773,3699062.0
2022-02-04,40.49,30258.2175,3244058.0
2022-02-07,40.98,30624.395,3062000.0
2022-02-08,41.79,31229.7088,3893187.0
2022-02-09,42.57,31812.6036,4036695.0
2022-02-10,41.82,31252.1278,3797610.0
2022-02-11,41.56,31057.8296,4442611.0
2022-02-14,40.91,30572.0839,4047410.0
2022-02-15,41.83,31259.6008,4829492.0
2022-02-16,41.86,31282.0199,5075429.0
2022-02-17,39.17,29271.7802,5113752.0
2022-02-18,39.18,29241.2486,4298973.0
2022-02-22,38.48,28718.8169,5509897.0
